accession,syn_id,mibig_reference,product,type,sid_type,tonb_num,pb_num,family,genus,species,genome_tonb,genome_pb
GCF_016027035.1,GCF_016027035.1|NZ_CP065652.1|r1c6|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_016027035.1,GCF_016027035.1|NZ_CP065652.1|r1c7|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_016027035.1,GCF_016027035.1|NZ_CP065652.1|r1c11|yersiniabactin,BGC0000467,yersiniabactin,NRP,NRP,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_016027035.1,GCF_016027035.1|NZ_CP065652.1|r1c12|unknown,unknown,unknown,unknown,Other,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,58,8
GCF_900475575.1,GCF_900475575.1|NZ_LS483395.1|r1c4|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,52,8
GCF_900475575.1,GCF_900475575.1|NZ_LS483395.1|r1c5|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,52,8
GCF_900010105.1,GCF_900010105.1|NZ_LN890477.1|r1c6|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,53,8
GCF_900009125.1,GCF_900009125.1|NZ_LN890476.1|r1c6|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,55,8
GCF_025426095.1,GCF_025426095.1|NZ_CP104835.1|r1c4|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,53,8
GCF_025426095.1,GCF_025426095.1|NZ_CP104835.1|r1c5|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,53,8
GCF_013282255.1,GCF_013282255.1|NZ_CP053618.1|r1c7|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,48,8
GCF_001558915.1,GCF_001558915.1|NZ_CP014065.1|r1c7|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,44,6
GCF_900009115.1,GCF_900009115.1|NZ_LN890335.1|r1c6|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,55,8
GCF_900009115.1,GCF_900009115.1|NZ_LN890335.1|r1c7|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,55,8
GCF_013282235.1,GCF_013282235.1|NZ_CP053617.1|r1c1|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,51,7
GCF_013282235.1,GCF_013282235.1|NZ_CP053617.1|r1c10|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,51,7
GCF_008432465.1,GCF_008432465.1|NZ_CP043820.1|r1c4|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,52,8
GCF_008432465.1,GCF_008432465.1|NZ_CP043820.1|r1c5|unknown,unknown,unknown,unknown,NIS,1,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,52,8
GCF_001559195.1,GCF_001559195.1|NZ_CP014028.1|r1c1|unknown,unknown,unknown,unknown,NIS,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,50,8
GCF_001559195.1,GCF_001559195.1|NZ_CP014028.1|r1c10|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,50,8
GCF_001051055.1,GCF_001051055.1|NZ_CP012046.1|r1c4|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,40,5
GCF_001514355.1,GCF_001514355.1|NZ_CP013923.1|r1c4|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,42,6
GCF_001461805.1,GCF_001461805.1|NZ_CP012871.1|r1c1|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Pluralibacter,[Enterobacter] lignolyticus,7,6
GCF_003994415.1,GCF_003994415.1|NZ_CP034689.1|r1c3|thalassospiramide A,BGC0001050,thalassospiramide A,"NRP, Polyketide",NRP,2,0,Alcaligenaceae,Achromobacter,Achromobacter spanius,30,2
GCF_004355245.1,GCF_004355245.1|NZ_CP034383.1|r1c7|ectoine,BGC0000853,ectoine,Other,NRP,0,0,Mycobacteriaceae,Mycobacteroides,Mycobacteroides chelonae,0,4
GCF_000164865.1,GCF_000164865.1|NC_014618.1|r1c4|enterobactin,BGC0002476,enterobactin,NRP,NRP,1,1,Enterobacteriaceae,Pluralibacter,[Enterobacter] lignolyticus,7,6
GCF_000008505.1,GCF_000008505.1|NC_005957.1|r1c2|petrobactin,BGC0000942,petrobactin,Other,NIS,0,0,Bacillaceae,Bacillus,Bacillus thuringiensis,0,11
GCF_000008505.1,GCF_000008505.1|NC_005957.1|r1c3|bacillibactin,BGC0001185,bacillibactin,NRP,NRP,0,0,Bacillaceae,Bacillus,Bacillus thuringiensis,0,11
GCF_000165835.1,GCF_000165835.1|NC_014640.1|r1c5|sevadicin,BGC0000426,sevadicin,NRP,NRP,2,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,49,6
GCF_000165835.1,GCF_000165835.1|NC_014640.1|r1c7|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans,49,6
GCF_022576045.1,GCF_022576045.1|NZ_CP093164.1|r1c6|enterobactin,BGC0000343,enterobactin,NRP,NRP,1,1,Pseudomonadaceae,Stutzerimonas,[Pseudomonas] zhaodongensis,13,2
GCF_018972185.1,GCF_018972185.1|NZ_CP076683.1|r1c5|enterobactin,BGC0000343,enterobactin,NRP,NRP,1,1,Pseudomonadaceae,Stutzerimonas,[Pseudomonas] zhaodongensis,16,2
GCF_016127315.1,GCF_016127315.1|NZ_CP065997.1|r1c5|taxlllaid A,BGC0001133,taxlllaid A,NRP,NRP,3,1,Alcaligenaceae,Achromobacter,Achromobacter deleyi,84,10
GCF_013267355.1,GCF_013267355.1|NZ_CP053985.1|r1c9|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter pestifer,46,5
GCF_002902905.1,GCF_002902905.1|NZ_CP026124.1|r1c5|unknown,unknown,unknown,unknown,NIS,0,0,Alcaligenaceae,Achromobacter,Achromobacter sp. AONIH1,17,5
GCF_016446395.1,GCF_016446395.1|NZ_CP051168.1|r1c2|unknown,unknown,unknown,unknown,NIS,0,1,,Koinonema,[Phormidium] sp. ETS-05,1,1
GCF_000176855.2,"GCF_000176855.2|NC_015138.1|r1c6|acidobactin A, acidobactin B",BGC0002419,"acidobactin A, acidobactin B","NRP, Polyketide",NRP,1,0,Comamonadaceae,Acidovorax,Acidovorax avenae,20,3
GCF_008632635.1,GCF_008632635.1|NZ_CP043953.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_008632635.1,"GCF_008632635.1|NZ_CP043953.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_009035845.1,"GCF_009035845.1|NZ_CP045110.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_009035845.1,GCF_009035845.1|NZ_CP045110.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_009759685.1,GCF_009759685.1|NZ_CP046654.1|r1c1|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_009759685.1,"GCF_009759685.1|NZ_CP046654.1|r1c6|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_000746645.1,GCF_000746645.1|NZ_CP009257.1|r1c3|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_000746645.1,"GCF_000746645.1|NZ_CP009257.1|r1c6|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_001896005.1,GCF_001896005.1|NZ_CP018254.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_001896005.1,"GCF_001896005.1|NZ_CP018254.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003010675.1,GCF_003010675.1|NZ_CP027611.1|r1c1|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,22,2
GCF_003010675.1,"GCF_003010675.1|NZ_CP027611.1|r1c7|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,22,2
GCF_003812485.1,GCF_003812485.1|NZ_CP033869.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,22,2
GCF_003812485.1,"GCF_003812485.1|NZ_CP033869.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,22,2
GCF_001578145.1,"GCF_001578145.1|NZ_CP014528.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_001578145.1,GCF_001578145.1|NZ_CP014528.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_003431385.1,GCF_003431385.1|NZ_CP022283.1|r1c3|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003431385.1,"GCF_003431385.1|NZ_CP022283.1|r1c5|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_002996805.1,GCF_002996805.1|NZ_CP027528.1|r1c1|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,0,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_002996805.1,"GCF_002996805.1|NZ_CP027528.1|r1c3|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_005518095.1,"GCF_005518095.1|NZ_CP040259.1|r1c5|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,23,2
GCF_005518095.1,GCF_005518095.1|NZ_CP040259.1|r1c7|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,23,2
GCF_006385075.1,GCF_006385075.1|NZ_CP041035.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,0,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,1
GCF_006385075.1,"GCF_006385075.1|NZ_CP041035.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,1
GCF_003522665.1,"GCF_003522665.1|NZ_CP023020.1|r1c2|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_003522665.1,GCF_003522665.1|NZ_CP023020.1|r1c4|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_003264275.1,GCF_003264275.1|NZ_CP021326.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,18,2
GCF_003264275.1,"GCF_003264275.1|NZ_CP021326.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,18,2
GCF_003431865.1,"GCF_003431865.1|NZ_CP027178.1|r1c3|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003431865.1,GCF_003431865.1|NZ_CP027178.1|r1c5|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_009455505.1,"GCF_009455505.1|NZ_CP045528.1|r1c2|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_009455505.1,GCF_009455505.1|NZ_CP045528.1|r1c8|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003345235.1,GCF_003345235.1|NZ_CP026338.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003345235.1,"GCF_003345235.1|NZ_CP026338.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_001026965.1,GCF_001026965.1|NZ_CP010779.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,18,2
GCF_001026965.1,"GCF_001026965.1|NZ_CP010779.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,18,2
GCF_001514375.1,GCF_001514375.1|NZ_CP013924.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_001514375.1,"GCF_001514375.1|NZ_CP013924.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_005280435.1,GCF_005280435.1|NZ_CP040050.1|r1c3|unknown,unknown,unknown,unknown,NIS,0,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_005280435.1,GCF_005280435.1|NZ_CP040050.1|r1c5|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003547115.1,GCF_003547115.1|NZ_CP027183.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003547115.1,"GCF_003547115.1|NZ_CP027183.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_002082785.1,GCF_002082785.1|NZ_CP020597.1|r1c1|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_002082785.1,"GCF_002082785.1|NZ_CP020597.1|r1c6|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_001543995.1,"GCF_001543995.1|NZ_CP014215.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_001543995.1,GCF_001543995.1|NZ_CP014215.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_012272755.1,GCF_012272755.1|NZ_CP050911.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_012272755.1,GCF_012272755.1|NZ_CP050911.1|r1c4|unknown,unknown,unknown,unknown,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_001399655.1,GCF_001399655.1|NZ_CP012952.1|r1c1|fimsbactin A,BGC0000352,fimsbactin A,NRP,NRP,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_001399655.1,GCF_001399655.1|NZ_CP012952.1|r1c3|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,0,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_001399655.1,"GCF_001399655.1|NZ_CP012952.1|r1c5|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_002753915.1,GCF_002753915.1|NZ_CP024576.1|r1c1|fimsbactin A,BGC0000352,fimsbactin A,NRP,NRP,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,23,2
GCF_002753915.1,GCF_002753915.1|NZ_CP024576.1|r1c3|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,23,2
GCF_002753915.1,GCF_002753915.1|NZ_CP024576.1|r1c5|unknown,unknown,unknown,unknown,NIS,0,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,23,2
GCF_003948085.2,GCF_003948085.2|NZ_CP039341.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003948085.2,"GCF_003948085.2|NZ_CP039341.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003949115.2,GCF_003949115.2|NZ_CP039343.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003949115.2,"GCF_003949115.2|NZ_CP039343.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_003006035.1,"GCF_003006035.1|NZ_CP027530.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_003006035.1,GCF_003006035.1|NZ_CP027530.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,21,2
GCF_002210065.1,"GCF_002210065.1|NZ_CP021782.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_002210065.1,GCF_002210065.1|NZ_CP021782.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_012272735.1,GCF_012272735.1|NZ_CP050907.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_012272735.1,"GCF_012272735.1|NZ_CP050907.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_005280715.1,GCF_005280715.1|NZ_CP040087.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,17,2
GCF_005280715.1,"GCF_005280715.1|NZ_CP040087.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,0,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,17,2
GCF_003522785.1,GCF_003522785.1|NZ_CP023026.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_003522785.1,"GCF_003522785.1|NZ_CP023026.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,19,2
GCF_009498335.1,GCF_009498335.1|NZ_CP042931.1|r1c5|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_009498335.1,"GCF_009498335.1|NZ_CP042931.1|r1c7|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_002947845.1,"GCF_002947845.1|NZ_CP026711.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_002947845.1,GCF_002947845.1|NZ_CP026711.1|r1c6|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,1
GCF_001887305.1,GCF_001887305.1|NZ_CP018143.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,1,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_001887305.1,"GCF_001887305.1|NZ_CP018143.1|r1c4|baumannoferrin A, baumannoferrin B",BGC0002471,"baumannoferrin A, baumannoferrin B",Other,NIS,1,0,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
GCF_004758865.1,GCF_004758865.1|NZ_CP038500.1|r1c2|acinetobactin,BGC0000294,acinetobactin,NRP,NRP,2,1,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,20,2
