Strain_Name,Has_BamA,Best_Evalue,Hit_Locus_Tag,Final_Classification
GCF_000010105.1,False,,Clean,Monoderm (Keep)
GCF_000011025.1,False,,Clean,Monoderm (Keep)
GCF_000007285.1,False,,Clean,Monoderm (Keep)
GCF_000008065.1,False,,Clean,Monoderm (Keep)
GCF_000006785.2,False,,Clean,Monoderm (Keep)
GCF_000009545.1,False,,Clean,Monoderm (Keep)
GCF_000009385.1,False,,Clean,Monoderm (Keep)
GCF_000010705.1,False,,Clean,Monoderm (Keep)
GCF_000010145.1,False,,Clean,Monoderm (Keep)
GCF_000010005.1,False,,Clean,Monoderm (Keep)
GCF_000007425.1,False,,Clean,Monoderm (Keep)
GCF_000007265.1,False,,Clean,Monoderm (Keep)
GCF_000010425.1,False,,Clean,Monoderm (Keep)
GCF_000006885.1,False,,Clean,Monoderm (Keep)
GCF_000007045.1,False,,Clean,Monoderm (Keep)
GCF_000008445.1,False,,Clean,Monoderm (Keep)
GCF_000006865.1,False,,Clean,Monoderm (Keep)
GCF_000008345.1,False,,Clean,Monoderm (Keep)
GCF_000011045.1,False,,Clean,Monoderm (Keep)
GCF_000010285.1,False,,Clean,Monoderm (Keep)
GCF_000008285.1,False,,Clean,Monoderm (Keep)
GCF_000007085.1,False,,Clean,Monoderm (Keep)
GCF_000007465.2,False,,Clean,Monoderm (Keep)
GCF_000010465.1,False,,Clean,Monoderm (Keep)
GCF_000009005.1,False,,Clean,Monoderm (Keep)
GCF_000009405.1,False,,Clean,Monoderm (Keep)
GCF_000007665.1,False,,Clean,Monoderm (Keep)
GCF_000009425.1,False,,Clean,Monoderm (Keep)
GCF_000009905.1,False,,Clean,Monoderm (Keep)
GCF_000010445.1,False,,Clean,Monoderm (Keep)
GCF_000011145.1,False,,Clean,Monoderm (Keep)
GCF_000009825.1,False,,Clean,Monoderm (Keep)
GCF_000008585.1,False,,Clean,Monoderm (Keep)
GCF_000008425.1,False,,Clean,Monoderm (Keep)
GCF_000010685.1,False,,Clean,Monoderm (Keep)
GCF_000009445.1,False,,Clean,Monoderm (Keep)
GCF_000008165.1,False,,Clean,Monoderm (Keep)
GCF_000007845.1,False,,Clean,Monoderm (Keep)
GCF_000007865.1,False,,Clean,Monoderm (Keep)
GCF_000009045.1,False,,Clean,Monoderm (Keep)
GCF_000010045.1,False,,Clean,Monoderm (Keep)
GCF_000010165.1,False,,Clean,Monoderm (Keep)
GCF_000010805.1,False,,Clean,Monoderm (Keep)
GCF_000011445.1,False,,Clean,Monoderm (Keep)
GCF_000012225.1,False,,Clean,Monoderm (Keep)
GCF_000011525.1,False,,Clean,Monoderm (Keep)
GCF_000011305.1,False,,Clean,Monoderm (Keep)
GCF_000011905.1,False,,Clean,Monoderm (Keep)
GCF_000011285.1,False,,Clean,Monoderm (Keep)
GCF_000009765.2,False,,Clean,Monoderm (Keep)
GCF_000011505.1,False,,Clean,Monoderm (Keep)
GCF_000011265.1,False,,Clean,Monoderm (Keep)
GCF_000011245.1,False,,Clean,Monoderm (Keep)
GCF_000011325.1,False,,Clean,Monoderm (Keep)
GCF_000010605.1,False,,Clean,Monoderm (Keep)
GCF_000012765.1,False,,Clean,Monoderm (Keep)
GCF_000011925.1,False,,Clean,Monoderm (Keep)
GCF_000011765.3,False,,Clean,Monoderm (Keep)
GCF_000011825.1,False,,Clean,Monoderm (Keep)
GCF_000011845.1,False,,Clean,Monoderm (Keep)
GCF_000011665.1,False,,Clean,Monoderm (Keep)
GCF_000011985.1,False,,Clean,Monoderm (Keep)
GCF_000012165.2,False,,Clean,Monoderm (Keep)
GCF_000012705.1,False,,Clean,Monoderm (Keep)
GCF_000011645.1,False,,Clean,Monoderm (Keep)
GCF_000011625.1,False,,Clean,Monoderm (Keep)
GCF_000013505.1,False,,Clean,Monoderm (Keep)
GCF_000013545.1,False,,Clean,Monoderm (Keep)
GCF_000013425.1,False,,Clean,Monoderm (Keep)
GCF_000014545.1,False,,Clean,Monoderm (Keep)
GCF_000014485.1,False,,Clean,Monoderm (Keep)
GCF_000013845.2,False,,Clean,Monoderm (Keep)
GCF_000014465.1,False,,Clean,Monoderm (Keep)
GCF_000012045.1,False,,Clean,Monoderm (Keep)
GCF_000014445.1,False,,Clean,Monoderm (Keep)
GCF_000014525.1,False,,Clean,Monoderm (Keep)
GCF_000013465.1,False,,Clean,Monoderm (Keep)
GCF_000014405.1,False,,Clean,Monoderm (Keep)
GCF_000015385.1,False,,Clean,Monoderm (Keep)
GCF_000014505.1,False,,Clean,Monoderm (Keep)
GCF_000014385.1,False,,Clean,Monoderm (Keep)
GCF_000013485.1,False,,Clean,Monoderm (Keep)
GCF_000014425.1,False,,Clean,Monoderm (Keep)
GCF_000014125.1,False,,Clean,Monoderm (Keep)
GCF_000014205.1,False,,Clean,Monoderm (Keep)
GCF_000014365.2,False,,Clean,Monoderm (Keep)
GCF_000012865.1,False,,Clean,Monoderm (Keep)
GCF_000014725.1,False,,Clean,Monoderm (Keep)
GCF_000015025.1,False,,Clean,Monoderm (Keep)
GCF_000014185.1,False,,Clean,Monoderm (Keep)
GCF_000013285.1,False,,Clean,Monoderm (Keep)
GCF_000017085.1,False,,Clean,Monoderm (Keep)
GCF_000016805.1,False,,Clean,Monoderm (Keep)
GCF_000017065.1,False,,Clean,Monoderm (Keep)
GCF_000015745.1,False,,Clean,Monoderm (Keep)
GCF_000017005.1,False,,Clean,Monoderm (Keep)
GCF_000016505.1,False,,Clean,Monoderm (Keep)
GCF_000014925.1,False,,Clean,Monoderm (Keep)
GCF_000013925.1,False,,Clean,Monoderm (Keep)
GCF_000016825.1,False,,Clean,Monoderm (Keep)
GCF_000015865.1,False,,Clean,Monoderm (Keep)
GCF_000016545.1,False,,Clean,Monoderm (Keep)
GCF_000017045.1,False,,Clean,Monoderm (Keep)
GCF_000016145.1,False,,Clean,Monoderm (Keep)
GCF_000017025.1,False,,Clean,Monoderm (Keep)
GCF_000016165.1,False,,Clean,Monoderm (Keep)
GCF_000015785.2,False,,Clean,Monoderm (Keep)
GCF_000013345.1,False,,Clean,Monoderm (Keep)
GCF_000015065.1,False,,Clean,Monoderm (Keep)
GCF_000014985.1,False,,Clean,Monoderm (Keep)
GCF_000015305.1,False,,Clean,Monoderm (Keep)
GCF_000017425.1,False,,Clean,Monoderm (Keep)
GCF_000015265.1,False,,Clean,Monoderm (Keep)
GCF_000015005.1,False,,Clean,Monoderm (Keep)
GCF_000017305.1,False,,Clean,Monoderm (Keep)
GCF_000016665.1,False,,Clean,Monoderm (Keep)
GCF_000016985.1,False,,Clean,Monoderm (Keep)
GCF_000016925.1,False,,Clean,Monoderm (Keep)
GCF_000016425.1,False,,Clean,Monoderm (Keep)
GCF_000017805.1,False,,Clean,Monoderm (Keep)
GCF_000016965.1,False,,Clean,Monoderm (Keep)
GCF_000017885.4,False,,Clean,Monoderm (Keep)
GCF_000019345.1,False,,Clean,Monoderm (Keep)
GCF_000019025.1,False,,Clean,Monoderm (Keep)
GCF_000019825.1,False,,Clean,Monoderm (Keep)
GCF_000018125.1,False,,Clean,Monoderm (Keep)
GCF_000019005.1,False,,Clean,Monoderm (Keep)
GCF_000018185.1,False,,Clean,Monoderm (Keep)
GCF_000017965.1,False,,Clean,Monoderm (Keep)
GCF_000019985.1,False,,Clean,Monoderm (Keep)
GCF_000018425.1,False,,Clean,Monoderm (Keep)
GCF_000019265.1,False,,Clean,Monoderm (Keep)
GCF_000019165.1,False,,Clean,Monoderm (Keep)
GCF_000020065.1,False,,Clean,Monoderm (Keep)
GCF_000021265.1,False,,Clean,Monoderm (Keep)
GCF_000020005.1,False,,Clean,Monoderm (Keep)
GCF_000019905.1,False,,Clean,Monoderm (Keep)
GCF_000023685.1,False,,Clean,Monoderm (Keep)
GCF_000018825.1,False,,Clean,Monoderm (Keep)
GCF_000019545.1,False,,Clean,Monoderm (Keep)
GCF_000020165.1,False,,Clean,Monoderm (Keep)
GCF_000019305.1,False,,Clean,Monoderm (Keep)
GCF_000019245.4,False,,Clean,Monoderm (Keep)
GCF_000018785.1,False,,Clean,Monoderm (Keep)
GCF_000023165.1,False,,Clean,Monoderm (Keep)
GCF_000019065.1,False,,Clean,Monoderm (Keep)
GCF_000021425.1,False,,Clean,Monoderm (Keep)
GCF_000018345.1,False,,Clean,Monoderm (Keep)
GCF_000021685.1,False,,Clean,Monoderm (Keep)
GCF_000019085.1,False,,Clean,Monoderm (Keep)
GCF_000020765.1,False,,Clean,Monoderm (Keep)
GCF_000018985.1,False,,Clean,Monoderm (Keep)
GCF_000018965.1,False,,Clean,Monoderm (Keep)
GCF_000018325.1,False,,Clean,Monoderm (Keep)
GCF_000018885.1,False,,Clean,Monoderm (Keep)
GCF_000020425.1,False,,Clean,Monoderm (Keep)
GCF_000021185.1,False,,Clean,Monoderm (Keep)
GCF_000020485.1,True,5.4e-54,HORE_RS09195,Diderm (Exclude)
GCF_000019045.1,False,,Clean,Monoderm (Keep)
GCF_000018685.1,False,,Clean,Monoderm (Keep)
GCF_000018865.1,False,,Clean,Monoderm (Keep)
GCF_000020345.1,False,,Clean,Monoderm (Keep)
GCF_000022905.1,False,,Clean,Monoderm (Keep)
GCF_000023845.1,False,,Clean,Monoderm (Keep)
GCF_000022325.1,False,,Clean,Monoderm (Keep)
GCF_000022705.1,False,,Clean,Monoderm (Keep)
GCF_000022965.1,False,,Clean,Monoderm (Keep)
GCF_000023145.1,False,,Clean,Monoderm (Keep)
GCF_000023205.1,False,,Clean,Monoderm (Keep)
GCF_000023265.1,False,,Clean,Monoderm (Keep)
GCF_000023885.1,False,,Clean,Monoderm (Keep)
GCF_000023085.1,False,,Clean,Monoderm (Keep)
GCF_000022925.1,False,,Clean,Monoderm (Keep)
GCF_000023045.1,False,,Clean,Monoderm (Keep)
GCF_000021945.1,False,,Clean,Monoderm (Keep)
GCF_000020285.1,False,,Clean,Monoderm (Keep)
GCF_000022765.1,False,,Clean,Monoderm (Keep)
GCF_000023105.1,False,,Clean,Monoderm (Keep)
GCF_000022065.1,False,,Clean,Monoderm (Keep)
GCF_000023865.1,False,,Clean,Monoderm (Keep)
GCF_000021925.1,False,,Clean,Monoderm (Keep)
GCF_000022505.1,False,,Clean,Monoderm (Keep)
GCF_000021305.1,False,,Clean,Monoderm (Keep)
GCF_000021785.1,False,,Clean,Monoderm (Keep)
GCF_000023925.1,False,,Clean,Monoderm (Keep)
GCF_000022865.1,False,,Clean,Monoderm (Keep)
GCF_000022025.1,False,,Clean,Monoderm (Keep)
GCF_000021445.1,False,,Clean,Monoderm (Keep)
GCF_000021205.1,False,,Clean,Monoderm (Keep)
GCF_000023405.1,False,,Clean,Monoderm (Keep)
GCF_000023585.1,False,,Clean,Monoderm (Keep)
GCF_000023625.1,False,,Clean,Monoderm (Keep)
GCF_000024225.1,False,,Clean,Monoderm (Keep)
GCF_000024065.1,False,,Clean,Monoderm (Keep)
GCF_000024105.1,False,,Clean,Monoderm (Keep)
GCF_000024285.1,False,,Clean,Monoderm (Keep)
GCF_000024265.1,False,,Clean,Monoderm (Keep)
GCF_000024205.1,False,,Clean,Monoderm (Keep)
GCF_000023245.1,False,,Clean,Monoderm (Keep)
GCF_000024025.1,False,,Clean,Monoderm (Keep)
GCF_000024585.1,False,,Clean,Monoderm (Keep)
GCF_000026205.1,False,,Clean,Monoderm (Keep)
GCF_000027325.1,False,,Clean,Monoderm (Keep)
GCF_000026405.1,False,,Clean,Monoderm (Keep)
GCF_000024605.1,False,,Clean,Monoderm (Keep)
GCF_000085865.1,False,,Clean,Monoderm (Keep)
GCF_000025845.1,False,,Clean,Monoderm (Keep)
GCF_000025365.1,False,,Clean,Monoderm (Keep)
GCF_000025385.1,False,,Clean,Monoderm (Keep)
GCF_000027345.1,False,,Clean,Monoderm (Keep)
GCF_000026525.1,False,,Clean,Monoderm (Keep)
GCF_000025045.1,False,,Clean,Monoderm (Keep)
GCF_000089865.1,False,,Clean,Monoderm (Keep)
GCF_000063605.1,False,,Clean,Monoderm (Keep)
GCF_000025245.2,False,,Clean,Monoderm (Keep)
GCF_000024965.1,False,,Clean,Monoderm (Keep)
GCF_000025205.1,False,,Clean,Monoderm (Keep)
GCF_000025025.1,False,,Clean,Monoderm (Keep)
GCF_000025225.2,False,,Clean,Monoderm (Keep)
GCF_000026065.1,False,,Clean,Monoderm (Keep)
GCF_000024985.1,False,,Clean,Monoderm (Keep)
GCF_000026605.1,False,,Clean,Monoderm (Keep)
GCF_000026585.1,False,,Clean,Monoderm (Keep)
GCF_000025765.1,False,,Clean,Monoderm (Keep)
GCF_000025005.1,False,,Clean,Monoderm (Keep)
GCF_000025085.1,False,,Clean,Monoderm (Keep)
GCF_000026485.1,False,,Clean,Monoderm (Keep)
GCF_000024445.1,False,,Clean,Monoderm (Keep)
GCF_000025645.1,False,,Clean,Monoderm (Keep)
GCF_000026665.1,False,,Clean,Monoderm (Keep)
GCF_000026505.1,False,,Clean,Monoderm (Keep)
GCF_000026705.1,False,,Clean,Monoderm (Keep)
GCF_000025145.1,False,,Clean,Monoderm (Keep)
GCF_000024925.1,False,,Clean,Monoderm (Keep)
GCF_000024365.1,False,,Clean,Monoderm (Keep)
GCF_000024345.1,False,,Clean,Monoderm (Keep)
GCF_000026745.1,False,,Clean,Monoderm (Keep)
GCF_000027045.1,False,,Clean,Monoderm (Keep)
GCF_000091405.1,False,,Clean,Monoderm (Keep)
GCF_000069225.1,False,,Clean,Monoderm (Keep)
GCF_000024785.1,False,,Clean,Monoderm (Keep)
GCF_000056065.1,False,,Clean,Monoderm (Keep)
GCF_000091645.1,False,,Clean,Monoderm (Keep)
GCF_000026725.1,False,,Clean,Monoderm (Keep)
GCF_000091905.1,False,,Clean,Monoderm (Keep)
GCF_000091725.1,False,,Clean,Monoderm (Keep)
GCF_000092325.1,False,,Clean,Monoderm (Keep)
GCF_000027185.1,False,,Clean,Monoderm (Keep)
GCF_000027165.1,False,,Clean,Monoderm (Keep)
GCF_000060285.1,False,,Clean,Monoderm (Keep)
GCF_000069945.1,False,,Clean,Monoderm (Keep)
GCF_000027145.1,False,,Clean,Monoderm (Keep)
GCF_000024385.1,False,,Clean,Monoderm (Keep)
GCF_000024685.1,False,,Clean,Monoderm (Keep)
GCF_000024545.1,False,,Clean,Monoderm (Keep)
GCF_000025345.1,False,,Clean,Monoderm (Keep)
GCF_000063585.1,False,,Clean,Monoderm (Keep)
GCF_000063485.1,False,,Clean,Monoderm (Keep)
GCF_000092165.1,False,,Clean,Monoderm (Keep)
GCF_000024865.1,False,,Clean,Monoderm (Keep)
GCF_000025825.1,False,,Clean,Monoderm (Keep)
GCF_000026445.2,False,,Clean,Monoderm (Keep)
GCF_000085225.1,False,,Clean,Monoderm (Keep)
GCF_000025265.1,False,,Clean,Monoderm (Keep)
GCF_000025805.1,False,,Clean,Monoderm (Keep)
GCF_000092225.1,False,,Clean,Monoderm (Keep)
GCF_000058485.1,False,,Clean,Monoderm (Keep)
GCF_000069185.1,False,,Clean,Monoderm (Keep)
GCF_000092585.1,False,,Clean,Monoderm (Keep)
GCF_000092365.1,False,,Clean,Monoderm (Keep)
GCF_000062885.1,False,,Clean,Monoderm (Keep)
GCF_000091305.1,False,,Clean,Monoderm (Keep)
GCF_000092505.1,False,,Clean,Monoderm (Keep)
GCF_000143945.1,False,,Clean,Monoderm (Keep)
GCF_000092765.1,False,,Clean,Monoderm (Keep)
GCF_000092405.1,False,,Clean,Monoderm (Keep)
GCF_000092445.1,False,,Clean,Monoderm (Keep)
GCF_000092645.1,False,,Clean,Monoderm (Keep)
GCF_000148625.1,False,,Clean,Monoderm (Keep)
GCF_000144955.2,False,,Clean,Monoderm (Keep)
GCF_000143435.1,False,,Clean,Monoderm (Keep)
GCF_000093125.2,False,,Clean,Monoderm (Keep)
GCF_000143865.1,False,,Clean,Monoderm (Keep)
GCF_000143845.1,False,,Clean,Monoderm (Keep)
GCF_000144645.1,False,,Clean,Monoderm (Keep)
GCF_000144935.2,False,,Clean,Monoderm (Keep)
GCF_000143205.1,False,,Clean,Monoderm (Keep)
GCF_000092965.1,False,,Clean,Monoderm (Keep)
GCF_000145215.1,False,,Clean,Monoderm (Keep)
GCF_000145615.1,False,,Clean,Monoderm (Keep)
GCF_000144695.1,True,1.2e-56,acear_RS11175,Diderm (Exclude)
GCF_000144675.2,False,,Clean,Monoderm (Keep)
GCF_000093085.1,False,,Clean,Monoderm (Keep)
GCF_000092905.1,False,,Clean,Monoderm (Keep)
GCF_000092945.1,False,,Clean,Monoderm (Keep)
GCF_000143705.2,False,,Clean,Monoderm (Keep)
GCF_000092865.1,False,,Clean,Monoderm (Keep)
GCF_000092825.1,False,,Clean,Monoderm (Keep)
GCF_000144625.1,False,,Clean,Monoderm (Keep)
GCF_000143685.1,False,,Clean,Monoderm (Keep)
GCF_000145035.1,False,,Clean,Monoderm (Keep)
GCF_000146185.1,False,,Clean,Monoderm (Keep)
GCF_000148815.2,False,,Clean,Monoderm (Keep)
GCF_000159155.2,False,,Clean,Monoderm (Keep)
GCF_000159535.2,False,,Clean,Monoderm (Keep)
GCF_000148585.2,False,,Clean,Monoderm (Keep)
GCF_000163895.2,False,,Clean,Monoderm (Keep)
GCF_000164965.1,False,,Clean,Monoderm (Keep)
GCF_000146975.1,False,,Clean,Monoderm (Keep)
GCF_000147095.1,False,,Clean,Monoderm (Keep)
GCF_000164675.2,False,,Clean,Monoderm (Keep)
GCF_000152065.3,False,,Clean,Monoderm (Keep)
GCF_000145595.1,False,,Clean,Monoderm (Keep)
GCF_000147695.2,False,,Clean,Monoderm (Keep)
GCF_000152245.2,False,,Clean,Monoderm (Keep)
GCF_000146565.1,False,,Clean,Monoderm (Keep)
GCF_000159455.2,False,,Clean,Monoderm (Keep)
GCF_000155515.2,False,,Clean,Monoderm (Keep)
GCF_000160335.2,False,,Clean,Monoderm (Keep)
GCF_000143605.1,False,,Clean,Monoderm (Keep)
GCF_000165905.1,False,,Clean,Monoderm (Keep)
GCF_000143885.2,False,,Clean,Monoderm (Keep)
GCF_000164695.2,False,,Clean,Monoderm (Keep)
GCF_000092985.1,False,,Clean,Monoderm (Keep)
GCF_000165465.1,True,7.3e-54,HPRAE_RS10005,Diderm (Exclude)
GCF_000157355.2,False,,Clean,Monoderm (Keep)
GCF_000154605.2,False,,Clean,Monoderm (Keep)
GCF_000154585.2,False,,Clean,Monoderm (Keep)
GCF_000146875.3,False,,Clean,Monoderm (Keep)
GCF_000145275.1,False,,Clean,Monoderm (Keep)
GCF_000092385.1,False,,Clean,Monoderm (Keep)
GCF_000153685.2,False,,Clean,Monoderm (Keep)
GCF_000145235.1,False,,Clean,Monoderm (Keep)
GCF_000183185.1,False,,Clean,Monoderm (Keep)
GCF_000183385.1,False,,Clean,Monoderm (Keep)
GCF_000186005.1,False,,Clean,Monoderm (Keep)
GCF_000179035.2,False,,Clean,Monoderm (Keep)
GCF_000183365.1,False,,Clean,Monoderm (Keep)
GCF_000164985.3,False,,Clean,Monoderm (Keep)
GCF_000157895.3,False,,Clean,Monoderm (Keep)
GCF_000166335.1,False,,Clean,Monoderm (Keep)
GCF_000147815.2,False,,Clean,Monoderm (Keep)
GCF_000174395.2,False,,Clean,Monoderm (Keep)
GCF_000182835.1,False,,Clean,Monoderm (Keep)
GCF_000174795.2,False,,Clean,Monoderm (Keep)
GCF_000166695.1,False,,Clean,Monoderm (Keep)
GCF_000178395.2,False,,Clean,Monoderm (Keep)
GCF_000167435.2,False,,Clean,Monoderm (Keep)
GCF_000182875.1,False,,Clean,Monoderm (Keep)
GCF_000168355.3,False,,Clean,Monoderm (Keep)
GCF_000166315.1,False,,Clean,Monoderm (Keep)
GCF_000179635.2,False,,Clean,Monoderm (Keep)
GCF_000186405.1,False,,Clean,Monoderm (Keep)
GCF_000189455.2,False,,Clean,Monoderm (Keep)
GCF_000175295.2,False,,Clean,Monoderm (Keep)
GCF_000177535.2,False,,Clean,Monoderm (Keep)
GCF_000166355.1,False,,Clean,Monoderm (Keep)
GCF_000180515.1,False,,Clean,Monoderm (Keep)
GCF_000185885.1,False,,Clean,Monoderm (Keep)
GCF_000184705.1,False,,Clean,Monoderm (Keep)
GCF_000166775.1,False,,Clean,Monoderm (Keep)
GCF_000189495.1,False,,Clean,Monoderm (Keep)
GCF_000166415.1,True,9.2e-56,HALSA_RS02115,Diderm (Exclude)
GCF_000168575.2,False,,Clean,Monoderm (Keep)
GCF_000178115.2,False,,Clean,Monoderm (Keep)
GCF_000184685.1,False,,Clean,Monoderm (Keep)
GCF_000184925.1,False,,Clean,Monoderm (Keep)
GCF_000179395.2,False,,Clean,Monoderm (Keep)
GCF_000165925.1,False,,Clean,Monoderm (Keep)
GCF_000178835.2,False,,Clean,Monoderm (Keep)
GCF_000177235.2,False,,Clean,Monoderm (Keep)
GCF_000172575.2,False,,Clean,Monoderm (Keep)
GCF_000169195.2,False,,Clean,Monoderm (Keep)
GCF_000168595.2,False,,Clean,Monoderm (Keep)
GCF_000186745.1,False,,Clean,Monoderm (Keep)
GCF_000192395.2,False,,Clean,Monoderm (Keep)
GCF_000177615.2,False,,Clean,Monoderm (Keep)
GCF_000184435.1,False,,Clean,Monoderm (Keep)
GCF_000168635.2,False,,Clean,Monoderm (Keep)
GCF_000168695.2,False,,Clean,Monoderm (Keep)
GCF_000177655.2,False,,Clean,Monoderm (Keep)
GCF_000177195.2,False,,Clean,Monoderm (Keep)
GCF_000189515.1,False,,Clean,Monoderm (Keep)
GCF_000194115.1,False,,Clean,Monoderm (Keep)
GCF_000195875.1,False,,Clean,Monoderm (Keep)
GCF_000194765.1,False,,Clean,Monoderm (Keep)
GCF_000191545.1,False,,Clean,Monoderm (Keep)
GCF_000195795.1,False,,Clean,Monoderm (Keep)
GCF_000194785.1,False,,Clean,Monoderm (Keep)
GCF_000189535.1,False,,Clean,Monoderm (Keep)
GCF_000192705.1,False,,Clean,Monoderm (Keep)
GCF_000195575.1,False,,Clean,Monoderm (Keep)
GCF_000191905.1,False,,Clean,Monoderm (Keep)
GCF_000193205.1,False,,Clean,Monoderm (Keep)
GCF_000195315.1,False,,Clean,Monoderm (Keep)
GCF_000195855.1,False,,Clean,Monoderm (Keep)
GCF_000195815.1,False,,Clean,Monoderm (Keep)
GCF_000189775.2,False,,Clean,Monoderm (Keep)
GCF_000193435.2,False,,Clean,Monoderm (Keep)
GCF_000195395.5,False,,Clean,Monoderm (Keep)
GCF_000190635.1,False,,Clean,Monoderm (Keep)
GCF_000195435.3,False,,Clean,Monoderm (Keep)
GCF_000166135.1,False,,Clean,Monoderm (Keep)
GCF_000193185.2,False,,Clean,Monoderm (Keep)
GCF_000193355.1,False,,Clean,Monoderm (Keep)
GCF_000195515.1,False,,Clean,Monoderm (Keep)
GCF_000195835.3,False,,Clean,Monoderm (Keep)
GCF_000195955.2,False,,Clean,Monoderm (Keep)
GCF_000196575.1,False,,Clean,Monoderm (Keep)
GCF_000203215.1,False,,Clean,Monoderm (Keep)
GCF_000196075.1,False,,Clean,Monoderm (Keep)
GCF_000200735.1,False,,Clean,Monoderm (Keep)
GCF_000196855.1,False,,Clean,Monoderm (Keep)
GCF_000196595.1,False,,Clean,Monoderm (Keep)
GCF_000196535.1,False,,Clean,Monoderm (Keep)
GCF_000196555.1,False,,Clean,Monoderm (Keep)
GCF_000196055.1,False,,Clean,Monoderm (Keep)
GCF_000196455.1,False,,Clean,Monoderm (Keep)
GCF_000196035.1,False,,Clean,Monoderm (Keep)
GCF_000196335.1,False,,Clean,Monoderm (Keep)
GCF_000196735.1,False,,Clean,Monoderm (Keep)
GCF_000211545.4,False,,Clean,Monoderm (Keep)
GCF_000211255.2,False,,Clean,Monoderm (Keep)
GCF_000219375.1,False,,Clean,Monoderm (Keep)
GCF_000204565.1,False,,Clean,Monoderm (Keep)
GCF_000204275.1,False,,Clean,Monoderm (Keep)
GCF_000210815.2,False,,Clean,Monoderm (Keep)
GCF_000203195.1,False,,Clean,Monoderm (Keep)
GCF_000211235.1,False,,Clean,Monoderm (Keep)
GCF_000196235.1,False,,Clean,Monoderm (Keep)
GCF_000197735.1,False,,Clean,Monoderm (Keep)
GCF_000203855.3,False,,Clean,Monoderm (Keep)
GCF_000211375.1,False,,Clean,Monoderm (Keep)
GCF_000197755.2,False,,Clean,Monoderm (Keep)
GCF_000211075.1,False,,Clean,Monoderm (Keep)
GCF_000213955.1,False,,Clean,Monoderm (Keep)
GCF_000209795.2,False,,Clean,Monoderm (Keep)
GCF_000204985.1,False,,Clean,Monoderm (Keep)
GCF_000211055.1,False,,Clean,Monoderm (Keep)
GCF_000210995.1,False,,Clean,Monoderm (Keep)
GCF_000204625.1,False,,Clean,Monoderm (Keep)
GCF_000213865.1,False,,Clean,Monoderm (Keep)
GCF_000211015.1,False,,Clean,Monoderm (Keep)
GCF_000210955.1,False,,Clean,Monoderm (Keep)
GCF_000211035.1,False,,Clean,Monoderm (Keep)
GCF_000210975.1,False,,Clean,Monoderm (Keep)
GCF_000213155.1,False,,Clean,Monoderm (Keep)
GCF_000210935.1,False,,Clean,Monoderm (Keep)
GCF_000210315.1,False,,Clean,Monoderm (Keep)
GCF_000204665.1,False,,Clean,Monoderm (Keep)
GCF_000209755.1,False,,Clean,Monoderm (Keep)
GCF_000213235.1,False,,Clean,Monoderm (Keep)
GCF_000210415.1,False,,Clean,Monoderm (Keep)
GCF_000213255.1,False,,Clean,Monoderm (Keep)
GCF_000199675.1,False,,Clean,Monoderm (Keep)
GCF_000210435.1,False,,Clean,Monoderm (Keep)
GCF_000210455.1,False,,Clean,Monoderm (Keep)
GCF_000202635.1,False,,Clean,Monoderm (Keep)
GCF_000212695.1,False,,Clean,Monoderm (Keep)
GCF_000196695.1,False,,Clean,Monoderm (Keep)
