dataname,syn_group,html_path,region_name,syn_type,Most similar known cluster,Similarity
GCF_046741845.1_NZ_CP123112.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741845.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741835.1_NZ_CP123110.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741835.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741985.1_NZ_CP123134.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741985.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046742155.1_NZ_CP122491.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046742155.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741895.1_NZ_CP123119.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741895.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741905.1_NZ_CP122490.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741905.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_046741915.1_NZ_CP123121.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_046741915.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_041734195.1_NZ_CP168498.1.region005,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_041734195.1\index.html,#r1c5,NI-siderophore,staphyloferrin B,0.91
GCF_042078115.1_NZ_CP142600.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_042078115.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_045789615.1_NZ_CP089491.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_045789615.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_031583045.1_NZ_CP134068.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_031583045.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_030533745.1_NZ_CP130517.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_030533745.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_025561645.1_NZ_CP095119.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_025561645.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_022405875.1_NZ_CP062407.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405875.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_001986135.1_NZ_CP019563.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001986135.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_038786585.1_NZ_CP125861.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_038786585.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_015219905.1_NZ_CP062467.1.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_015219905.1\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_020177155.3_NZ_CP098727.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020177155.3\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_024741435.1_NZ_CP102956.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_024741435.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_038449175.2_NZ_CP151815.2.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_038449175.2\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_001656045.1_NZ_CP015645.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001656045.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_000828035.1_NZ_CP010526.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000828035.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_015220695.1_NZ_CP062471.1.region005,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_015220695.1\index.html,#r1c5,NI-siderophore,staphyloferrin B,0.91
GCF_005707335.1_NZ_CP039992.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_005707335.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_005707015.1_NZ_CP039167.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_005707015.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_005705815.1_NZ_CP039160.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_005705815.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_038430115.1_NZ_CP131670.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_038430115.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_007826355.1_NZ_CP041037.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_007826355.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_018093205.1_NZ_CP071102.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_018093205.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_021249285.1_NZ_CP089586.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_021249285.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_020388965.1_NZ_CP077915.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020388965.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_020389265.1_NZ_CP077921.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020389265.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_020389025.2_NZ_CP077919.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020389025.2\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_021491835.1_NZ_CP090877.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_021491835.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912295.1_NZ_CP047780.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912295.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_012044215.1_NZ_CP050690.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_012044215.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_022405185.1_NZ_CP062350.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405185.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_022406675.1_NZ_CP060141.1.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022406675.1\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_002850395.1_NZ_CP020713.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_002850395.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_009912755.1_NZ_CP047847.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912755.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912775.1_NZ_CP047841.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912775.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_019134615.1_NZ_CP077755.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_019134615.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_019134635.1_NZ_CP077757.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_019134635.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_018075265.1_NZ_CP073012.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_018075265.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_004136655.1_NZ_CP030136.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_004136655.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_003432365.1_NZ_CP031838.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003432365.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_003432345.1_NZ_CP031839.1.region007,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003432345.1\index.html,#r1c7,NI-siderophore,staphyloferrin B,0.91
GCF_015219925.1_NZ_CP062465.1.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_015219925.1\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_020389165.1_NZ_CP077920.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_020389165.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912355.1_NZ_CP047826.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912355.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_014696535.1_NZ_CP051479.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_014696535.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_014696255.1_NZ_CP051191.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_014696255.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_027942255.1_NZ_CP096272.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_027942255.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_027942275.1_NZ_CP096274.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_027942275.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_001018645.2_NZ_CP026964.1.region002,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001018645.2\index.html,#r1c2,NI-siderophore,staphyloferrin B,0.91
GCF_001019535.2_NZ_CP026073.1.region005,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001019535.2\index.html,#r1c5,NI-siderophore,staphyloferrin B,0.91
GCF_001019125.2_NZ_CP026957.1.region005,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001019125.2\index.html,#r1c5,NI-siderophore,staphyloferrin B,0.91
GCF_009912555.1_NZ_CP047835.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912555.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_009913035.1_NZ_CP047852.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009913035.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_022405055.1_NZ_CP062344.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022405055.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_022369535.1_NZ_CP062312.1.region004,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_022369535.1\index.html,#r1c4,NI-siderophore,staphyloferrin B,0.91
GCF_001717665.1_NZ_CP016856.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001717665.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_003193785.1_NZ_CP029681.1.region005,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003193785.1\index.html,#r1c5,NI-siderophore,staphyloferrin B,0.91
GCF_003193665.1_NZ_CP029649.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_003193665.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_009912615.1_NZ_CP047790.1.region003,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_009912615.1\index.html,#r1c3,NI-siderophore,staphyloferrin B,0.91
GCF_013363895.1_NZ_CP054876.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_013363895.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_001296985.1_NZ_CP010402.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001296985.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_001457495.1_NZ_LN831036.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_001457495.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
GCF_000239235.1_NC_017351.1.region001,1,\\192.168.1.106\Pdisk7\yll\Staphylococcus\antismash_results\GCF_000239235.1\index.html,#r1c1,NI-siderophore,staphyloferrin B,0.91
