Strain_Name,BGC_Filename,PBP2_Count,PBP2_Locus_Tags
GCF_000007645.1,NC_004461.1.region002.gbk,0,
GCF_000007645.1,NC_004461.1.region003.gbk,0,
GCF_000007645.1,NC_004461.1.region004.gbk,1,SE_RS08650
GCF_000007645.1,NC_004461.1.region005.gbk,0,
GCF_000007645.1,NC_005004.1.region001.gbk,0,
GCF_000011305.1,NC_004369.1.region001.gbk,0,
GCF_000011305.1,NC_004369.1.region002.gbk,0,
GCF_000011305.1,NC_004369.1.region003.gbk,0,
GCF_000006605.1,NC_003080.1.region001.gbk,0,
GCF_000006605.1,NC_007164.1.region001.gbk,0,
GCF_000006605.1,NC_007164.1.region002.gbk,0,
GCF_000006605.1,NC_007164.1.region003.gbk,0,
GCF_000006605.1,NC_007164.1.region004.gbk,0,
GCF_000006605.1,NC_007164.1.region005.gbk,3,JK_RS09050;JK_RS09215;JK_RS09230
GCF_000005825.2,NC_013791.2.region001.gbk,1,BPOF4_RS01060
GCF_000005825.2,NC_013791.2.region002.gbk,0,
GCF_000005825.2,NC_013791.2.region003.gbk,0,
GCF_000005825.2,NC_013791.2.region004.gbk,0,
GCF_000005825.2,NC_013791.2.region005.gbk,0,
GCF_000005825.2,NC_013791.2.region006.gbk,0,
GCF_000005825.2,NC_013792.1.region001.gbk,0,
GCF_000012165.2,NC_007296.2.region001.gbk,0,
GCF_000012165.2,NC_007296.2.region002.gbk,0,
GCF_000012165.2,NC_007296.2.region003.gbk,0,
GCF_000012165.2,NC_007296.2.region004.gbk,0,
GCF_000007845.1,NC_003997.3.region001.gbk,0,
GCF_000007845.1,NC_003997.3.region002.gbk,0,
GCF_000007845.1,NC_003997.3.region003.gbk,0,
GCF_000007845.1,NC_003997.3.region004.gbk,0,
GCF_000007845.1,NC_003997.3.region005.gbk,0,
GCF_000007845.1,NC_003997.3.region006.gbk,0,
GCF_000007845.1,NC_003997.3.region007.gbk,0,
GCF_000014405.1,NC_008529.1.region001.gbk,0,
GCF_000014405.1,NC_008529.1.region002.gbk,0,
GCF_000009665.1,NC_002758.2.region001.gbk,1,SAV_RS00710
GCF_000009665.1,NC_002758.2.region002.gbk,0,
GCF_000009665.1,NC_002758.2.region003.gbk,0,
GCF_000009665.1,NC_002758.2.region004.gbk,0,
GCF_000009665.1,NC_002758.2.region005.gbk,1,SAV_RS11910
GCF_000009665.1,NC_002758.2.region006.gbk,0,
GCF_000009665.1,NC_002758.2.region007.gbk,0,
GCF_000011325.1,NC_003450.3.region001.gbk,0,
GCF_000011325.1,NC_003450.3.region002.gbk,0,
GCF_000011325.1,NC_003450.3.region003.gbk,0,
GCF_000011325.1,NC_003450.3.region004.gbk,0,
GCF_000008165.1,NC_005945.1.region001.gbk,0,
GCF_000008165.1,NC_005945.1.region002.gbk,0,
GCF_000008165.1,NC_005945.1.region003.gbk,0,
GCF_000008165.1,NC_005945.1.region004.gbk,0,
GCF_000008165.1,NC_005945.1.region005.gbk,0,
GCF_000008165.1,NC_005945.1.region006.gbk,0,
GCF_000008165.1,NC_005945.1.region007.gbk,0,
GCF_000008005.1,NC_003909.8.region001.gbk,0,
GCF_000008005.1,NC_003909.8.region002.gbk,0,
GCF_000008005.1,NC_003909.8.region003.gbk,0,
GCF_000008005.1,NC_003909.8.region004.gbk,0,
GCF_000008005.1,NC_003909.8.region005.gbk,0,
GCF_000008005.1,NC_003909.8.region006.gbk,0,
GCF_000008005.1,NC_003909.8.region007.gbk,0,
GCF_000014525.1,NC_008526.1.region001.gbk,0,
GCF_000014525.1,NC_008526.1.region002.gbk,0,
GCF_000011285.1,NC_004606.1.region001.gbk,0,
GCF_000011285.1,NC_004606.1.region002.gbk,0,
GCF_000011285.1,NC_004606.1.region003.gbk,0,
GCF_000011285.1,NC_004606.1.region004.gbk,0,
GCF_000010445.1,NC_009782.1.region001.gbk,1,SAHV_RS00565
GCF_000010445.1,NC_009782.1.region002.gbk,0,
GCF_000010445.1,NC_009782.1.region003.gbk,0,
GCF_000010445.1,NC_009782.1.region004.gbk,0,
GCF_000010445.1,NC_009782.1.region005.gbk,1,SAHV_RS11775
GCF_000010445.1,NC_009782.1.region006.gbk,0,
GCF_000010445.1,NC_009782.1.region007.gbk,0,
GCF_000014465.1,NC_008497.1.region001.gbk,0,
GCF_000014465.1,NC_008497.1.region002.gbk,0,
GCF_000008445.1,NC_007530.2.region001.gbk,0,
GCF_000008445.1,NC_007530.2.region002.gbk,0,
GCF_000008445.1,NC_007530.2.region003.gbk,0,
GCF_000008445.1,NC_007530.2.region004.gbk,0,
GCF_000008445.1,NC_007530.2.region005.gbk,0,
GCF_000008445.1,NC_007530.2.region006.gbk,0,
GCF_000008445.1,NC_007530.2.region007.gbk,0,
GCF_000009585.1,NC_017333.1.region001.gbk,1,SAPIG_RS00610
GCF_000009585.1,NC_017333.1.region002.gbk,0,
GCF_000009585.1,NC_017333.1.region003.gbk,0,
GCF_000009585.1,NC_017333.1.region004.gbk,0,
GCF_000009585.1,NC_017333.1.region005.gbk,1,SAPIG_RS11735
GCF_000009585.1,NC_017333.1.region006.gbk,0,
GCF_000009585.1,NC_017333.1.region007.gbk,0,
GCF_000012865.1,NC_007503.1.region001.gbk,0,
GCF_000014205.1,NC_009009.1.region001.gbk,0,
GCF_000013505.1,NC_008022.1.region001.gbk,0,
GCF_000013505.1,NC_008022.1.region002.gbk,0,
GCF_000013505.1,NC_008022.1.region003.gbk,0,
GCF_000013505.1,NC_008022.1.region004.gbk,0,
GCF_000009645.1,NC_002745.2.region001.gbk,1,SA_RS00710
GCF_000009645.1,NC_002745.2.region002.gbk,0,
GCF_000009645.1,NC_002745.2.region003.gbk,0,
GCF_000009645.1,NC_002745.2.region004.gbk,0,
GCF_000009645.1,NC_002745.2.region005.gbk,1,SA_RS11400
GCF_000009645.1,NC_002745.2.region006.gbk,0,
GCF_000009645.1,NC_002745.2.region007.gbk,0,
GCF_000009645.1,NC_003140.1.region001.gbk,0,
GCF_000011925.1,NC_002976.3.region001.gbk,0,
GCF_000011925.1,NC_002976.3.region002.gbk,1,SERP_RS08920
GCF_000011925.1,NC_002976.3.region003.gbk,0,
GCF_000011925.1,NC_002976.3.region004.gbk,0,
GCF_000011925.1,NC_002976.3.region005.gbk,0,
GCF_000014545.1,NC_008503.1.region001.gbk,0,
GCF_000014545.1,NC_008527.1.region001.gbk,0,
GCF_000014545.1,NC_008527.1.region002.gbk,0,
GCF_000014545.1,NC_008527.1.region003.gbk,0,
GCF_000011145.1,NC_002570.2.region001.gbk,0,
GCF_000011145.1,NC_002570.2.region002.gbk,0,
GCF_000011145.1,NC_002570.2.region003.gbk,0,
GCF_000011145.1,NC_002570.2.region004.gbk,0,
GCF_000011145.1,NC_002570.2.region005.gbk,0,
GCF_000011145.1,NC_002570.2.region006.gbk,0,
GCF_000011145.1,NC_002570.2.region007.gbk,0,
GCF_000011145.1,NC_002570.2.region008.gbk,0,
GCF_000010465.1,NC_009641.1.region001.gbk,1,NWMN_RS00335
GCF_000010465.1,NC_009641.1.region002.gbk,0,
GCF_000010465.1,NC_009641.1.region003.gbk,0,
GCF_000010465.1,NC_009641.1.region004.gbk,0,
GCF_000010465.1,NC_009641.1.region005.gbk,0,
GCF_000010465.1,NC_009641.1.region006.gbk,1,NWMN_RS12035
GCF_000010465.1,NC_009641.1.region007.gbk,0,
GCF_000010465.1,NC_009641.1.region008.gbk,0,
GCF_000011845.1,NC_006449.1.region001.gbk,0,
GCF_000011845.1,NC_006449.1.region002.gbk,0,
GCF_000011845.1,NC_006449.1.region003.gbk,0,
GCF_000011845.1,NC_006449.1.region004.gbk,0,
GCF_000011845.1,NC_006449.1.region005.gbk,0,
GCF_000010265.1,NC_011837.1.region001.gbk,0,
GCF_000010265.1,NC_011837.1.region002.gbk,0,
GCF_000010265.1,NC_011837.1.region003.gbk,1,CKR_RS08560
GCF_000010265.1,NC_011837.1.region004.gbk,0,
GCF_000010265.1,NC_011837.1.region005.gbk,0,
GCF_000010265.1,NC_011837.1.region006.gbk,0,
GCF_000010265.1,NC_011837.1.region007.gbk,0,
GCF_000010265.1,NC_011837.1.region008.gbk,0,
GCF_000014505.1,NC_008525.1.region001.gbk,0,
GCF_000014505.1,NC_008525.1.region002.gbk,0,
GCF_000014385.1,NC_008528.1.region001.gbk,0,
GCF_000014385.1,NC_008528.1.region002.gbk,0,
GCF_000013545.1,NC_008024.1.region001.gbk,0,
GCF_000013545.1,NC_008024.1.region002.gbk,0,
GCF_000013545.1,NC_008024.1.region003.gbk,0,
GCF_000013545.1,NC_008024.1.region004.gbk,0,
GCF_000013545.1,NC_008024.1.region005.gbk,0,
GCF_000009005.1,NC_007622.1.region001.gbk,1,SAB_RS00305
GCF_000009005.1,NC_007622.1.region002.gbk,0,
GCF_000009005.1,NC_007622.1.region003.gbk,0,
GCF_000009005.1,NC_007622.1.region004.gbk,0,
GCF_000009005.1,NC_007622.1.region005.gbk,0,
GCF_000009005.1,NC_007622.1.region006.gbk,0,
GCF_000009005.1,NC_007622.1.region007.gbk,1,SAB_RS11180
GCF_000009005.1,NC_007622.1.region008.gbk,0,
GCF_000009005.1,NC_007622.1.region009.gbk,0,
GCF_000011825.1,NC_006448.1.region001.gbk,0,
GCF_000011825.1,NC_006448.1.region002.gbk,0,
GCF_000011825.1,NC_006448.1.region003.gbk,0,
GCF_000011825.1,NC_006448.1.region004.gbk,0,
GCF_000011825.1,NC_006448.1.region005.gbk,0,
GCF_000011825.1,NC_006448.1.region006.gbk,0,
GCF_000014125.1,NC_008593.1.region001.gbk,0,
GCF_000014125.1,NC_008593.1.region002.gbk,0,
GCF_000014125.1,NC_008593.1.region003.gbk,0,
GCF_000013845.2,NC_008262.1.region001.gbk,0,
GCF_000013845.2,NC_008262.1.region002.gbk,0,
GCF_000013845.2,NC_008262.1.region003.gbk,0,
GCF_000013845.2,NC_008262.1.region004.gbk,0,
GCF_000013845.2,NC_008262.1.region005.gbk,0,
GCF_000011245.1,NC_004193.1.region001.gbk,0,
GCF_000011245.1,NC_004193.1.region002.gbk,0,
GCF_000011245.1,NC_004193.1.region003.gbk,0,
GCF_000011245.1,NC_004193.1.region004.gbk,0,
GCF_000011245.1,NC_004193.1.region005.gbk,0,
GCF_000011245.1,NC_004193.1.region006.gbk,0,
GCF_000013285.1,NC_008261.1.region001.gbk,0,
GCF_000013285.1,NC_008261.1.region002.gbk,0,
GCF_000013285.1,NC_008261.1.region003.gbk,0,
GCF_000014445.1,NC_008531.1.region001.gbk,0,
GCF_000014445.1,NC_008531.1.region002.gbk,0,
GCF_000014445.1,NC_008531.1.region003.gbk,0,
GCF_000014445.1,NC_008531.1.region004.gbk,0,
GCF_000017005.1,NC_009785.1.region001.gbk,0,
GCF_000017005.1,NC_009785.1.region002.gbk,0,
GCF_000016825.1,NC_009513.1.region001.gbk,0,
GCF_000014485.1,NC_008532.1.region001.gbk,0,
GCF_000014485.1,NC_008532.1.region002.gbk,0,
GCF_000014485.1,NC_008532.1.region003.gbk,0,
GCF_000014485.1,NC_008532.1.region004.gbk,0,
GCF_000014485.1,NC_008532.1.region005.gbk,0,
GCF_000014485.1,NC_008532.1.region006.gbk,0,
GCF_000013485.1,NC_008021.1.region001.gbk,0,
GCF_000013485.1,NC_008021.1.region002.gbk,0,
GCF_000013485.1,NC_008021.1.region003.gbk,0,
GCF_000013485.1,NC_008021.1.region004.gbk,0,
GCF_000008425.1,NC_006322.1.region001.gbk,0,
GCF_000008425.1,NC_006322.1.region002.gbk,0,
GCF_000008425.1,NC_006322.1.region003.gbk,0,
GCF_000008425.1,NC_006322.1.region004.gbk,0,
GCF_000008425.1,NC_006322.1.region005.gbk,0,
GCF_000008425.1,NC_006322.1.region006.gbk,0,
GCF_000008425.1,NC_006322.1.region007.gbk,0,
GCF_000008425.1,NC_006322.1.region008.gbk,1,BLI_RS19195
GCF_000008425.1,NC_006322.1.region009.gbk,0,
GCF_000008425.1,NC_006322.1.region010.gbk,0,
GCF_000014725.1,NC_008346.1.region001.gbk,0,
GCF_000014725.1,NC_008346.1.region002.gbk,0,
GCF_000014725.1,NC_008346.1.region003.gbk,0,
GCF_000014725.1,NC_008346.1.region004.gbk,0,
GCF_000015025.1,NC_008578.1.region001.gbk,0,
GCF_000015025.1,NC_008578.1.region002.gbk,0,
GCF_000015025.1,NC_008578.1.region003.gbk,0,
GCF_000015025.1,NC_008578.1.region004.gbk,0,
GCF_000016165.1,NC_009253.1.region001.gbk,0,
GCF_000016165.1,NC_009253.1.region002.gbk,0,
GCF_000011265.1,NC_003923.1.region001.gbk,1,MW_RS00460
GCF_000011265.1,NC_003923.1.region002.gbk,0,
GCF_000011265.1,NC_003923.1.region003.gbk,0,
GCF_000011265.1,NC_003923.1.region004.gbk,0,
GCF_000011265.1,NC_003923.1.region005.gbk,0,
GCF_000011265.1,NC_003923.1.region006.gbk,1,MW_RS11450
GCF_000011265.1,NC_003923.1.region007.gbk,0,
GCF_000011265.1,NC_003923.1.region008.gbk,0,
GCF_000013425.1,NC_007795.1.region001.gbk,1,SAOUHSC_00074
GCF_000013425.1,NC_007795.1.region002.gbk,0,
GCF_000013425.1,NC_007795.1.region003.gbk,0,
GCF_000013425.1,NC_007795.1.region004.gbk,0,
GCF_000013425.1,NC_007795.1.region005.gbk,1,SAOUHSC_02430
GCF_000013425.1,NC_007795.1.region006.gbk,0,
GCF_000013425.1,NC_007795.1.region007.gbk,0,
GCF_000011505.1,NC_002952.2.region001.gbk,1,SAR_RS00560
GCF_000011505.1,NC_002952.2.region002.gbk,0,
GCF_000011505.1,NC_002952.2.region003.gbk,0,
GCF_000011505.1,NC_002952.2.region004.gbk,0,
GCF_000011505.1,NC_002952.2.region005.gbk,0,
GCF_000011505.1,NC_002952.2.region006.gbk,1,SAR_RS11840
GCF_000011505.1,NC_002952.2.region007.gbk,0,
GCF_000011505.1,NC_002952.2.region008.gbk,0,
GCF_000014365.2,NC_008533.2.region001.gbk,0,
GCF_000014365.2,NC_008533.2.region002.gbk,0,
GCF_000014365.2,NC_008533.2.region003.gbk,0,
GCF_000014365.2,NC_008533.2.region004.gbk,0,
GCF_000014365.2,NC_008533.2.region005.gbk,0,
GCF_000007825.1,NC_004722.1.region001.gbk,0,
GCF_000007825.1,NC_004722.1.region002.gbk,0,
GCF_000007825.1,NC_004722.1.region003.gbk,0,
GCF_000007825.1,NC_004722.1.region004.gbk,0,
GCF_000007825.1,NC_004722.1.region005.gbk,0,
GCF_000007825.1,NC_004722.1.region006.gbk,0,
GCF_000007825.1,NC_004722.1.region007.gbk,0,
GCF_000007825.1,NC_004722.1.region008.gbk,0,
GCF_000007825.1,NC_004722.1.region009.gbk,0,
GCF_000007825.1,NC_004722.1.region010.gbk,0,
GCF_000007825.1,NC_004722.1.region011.gbk,0,
GCF_000011525.1,NC_002953.3.region001.gbk,1,SAS_RS00440
GCF_000011525.1,NC_002953.3.region002.gbk,0,
GCF_000011525.1,NC_002953.3.region003.gbk,0,
GCF_000011525.1,NC_002953.3.region004.gbk,0,
GCF_000011525.1,NC_002953.3.region005.gbk,0,
GCF_000011525.1,NC_002953.3.region006.gbk,1,SAS_RS11315
GCF_000011525.1,NC_002953.3.region007.gbk,0,
GCF_000011525.1,NC_002953.3.region008.gbk,0,
GCF_000011525.1,NC_005951.1.region001.gbk,0,
GCF_000011625.1,NC_006274.1.region001.gbk,0,
GCF_000011625.1,NC_006274.1.region002.gbk,0,
GCF_000011625.1,NC_006274.1.region003.gbk,0,
GCF_000011625.1,NC_006274.1.region004.gbk,0,
GCF_000011625.1,NC_006274.1.region005.gbk,0,
GCF_000011625.1,NC_006274.1.region006.gbk,0,
GCF_000011625.1,NC_006274.1.region007.gbk,0,
GCF_000015745.1,NC_009328.1.region001.gbk,0,
GCF_000015745.1,NC_009328.1.region002.gbk,0,
GCF_000015745.1,NC_009328.1.region003.gbk,0,
GCF_000015745.1,NC_009328.1.region004.gbk,0,
GCF_000015745.1,NC_009328.1.region005.gbk,0,
GCF_000018125.1,NC_011375.1.region001.gbk,0,
GCF_000018125.1,NC_011375.1.region002.gbk,0,
GCF_000018125.1,NC_011375.1.region003.gbk,0,
GCF_000019245.4,NC_014334.2.region001.gbk,0,
GCF_000017045.1,NC_009698.1.region001.gbk,0,
GCF_000017045.1,NC_009698.1.region002.gbk,0,
GCF_000017045.1,NC_009698.1.region003.gbk,0,
GCF_000017045.1,NC_009698.1.region004.gbk,0,
GCF_000019165.1,NC_010337.2.region001.gbk,0,
GCF_000019165.1,NC_010337.2.region002.gbk,0,
GCF_000018425.1,NC_010424.1.region001.gbk,0,
GCF_000018425.1,NC_010424.1.region002.gbk,0,
GCF_000018185.1,NC_017617.1.region001.gbk,0,
GCF_000018185.1,NC_017617.1.region002.gbk,0,
GCF_000017025.1,NC_009697.1.region001.gbk,0,
GCF_000017025.1,NC_009697.1.region002.gbk,0,
GCF_000017025.1,NC_009697.1.region003.gbk,0,
GCF_000017025.1,NC_009697.1.region004.gbk,0,
GCF_000017065.1,NC_009699.1.region001.gbk,0,
GCF_000017065.1,NC_009699.1.region002.gbk,0,
GCF_000017065.1,NC_009699.1.region003.gbk,0,
GCF_000017065.1,NC_009699.1.region004.gbk,0,
GCF_000017065.1,NC_009699.1.region005.gbk,0,
GCF_000017065.1,NC_009700.1.region001.gbk,0,
GCF_000016545.1,NC_009437.1.region001.gbk,0,
GCF_000016545.1,NC_009437.1.region002.gbk,0,
GCF_000016545.1,NC_009437.1.region003.gbk,0,
GCF_000016545.1,NC_009437.1.region004.gbk,0,
GCF_000012045.1,NC_002951.2.region001.gbk,1,SACOL_RS00490
GCF_000012045.1,NC_002951.2.region002.gbk,0,
GCF_000012045.1,NC_002951.2.region003.gbk,0,
GCF_000012045.1,NC_002951.2.region004.gbk,0,
GCF_000012045.1,NC_002951.2.region005.gbk,0,
GCF_000012045.1,NC_002951.2.region006.gbk,1,SACOL_RS11390
GCF_000012045.1,NC_002951.2.region007.gbk,0,
GCF_000012045.1,NC_002951.2.region008.gbk,0,
GCF_000013465.1,NC_007793.1.region001.gbk,1,SAUSA300_RS00605
GCF_000013465.1,NC_007793.1.region002.gbk,0,
GCF_000013465.1,NC_007793.1.region003.gbk,0,
GCF_000013465.1,NC_007793.1.region004.gbk,0,
GCF_000013465.1,NC_007793.1.region005.gbk,0,
GCF_000013465.1,NC_007793.1.region006.gbk,1,SAUSA300_RS11760
GCF_000013465.1,NC_007793.1.region007.gbk,0,
GCF_000013465.1,NC_007793.1.region008.gbk,0,
GCF_000016665.1,NC_009523.1.region001.gbk,0,
GCF_000016665.1,NC_009523.1.region002.gbk,0,
GCF_000016665.1,NC_009523.1.region003.gbk,0,
GCF_000016665.1,NC_009523.1.region004.gbk,0,
GCF_000020165.1,NC_010674.1.region001.gbk,0,
GCF_000020165.1,NC_010674.1.region002.gbk,0,
GCF_000019905.1,NC_010556.1.region001.gbk,0,
GCF_000019905.1,NC_010556.1.region002.gbk,0,
GCF_000019065.1,NC_010320.1.region001.gbk,0,
GCF_000019065.1,NC_010320.1.region002.gbk,0,
GCF_000020005.1,NC_010718.1.region001.gbk,0,
