"","dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus"
"21","GCF_035983575.1_NZ_CP108435.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"22","GCF_036231965.1_NZ_CP109499.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces"
"23","GCF_025643355.1_NZ_CP092644.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"24","GCF_003675345.1_NZ_CP033071.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"25","GCF_001753425.1_NZ_CP016825.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"26","GCF_000827005.1_NZ_CP010519.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"27","GCF_046267975.1_NZ_CP176503.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"28","GCF_036227225.1_NZ_CP109444.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"29","GCF_045162655.1_NZ_CP108728.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"30","GCF_045162565.1_NZ_CP108733.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"31","GCF_045162645.1_NZ_CP108730.1.region021",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\index.html","#r1c21","NI-siderophore","0",0,"Streptomyces"
"32","GCF_045162825.1_NZ_CP108676.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces"
"33","GCF_036187565.1_NZ_CP108087.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"34","GCF_036196325.1_NZ_CP108102.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"35","GCF_045160925.1_NZ_CP108145.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"36","GCF_045160915.1_NZ_CP108147.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"37","GCF_036226645.1_NZ_CP109004.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"38","GCF_041051895.1_NZ_CP163431.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"39","GCF_045040345.1_NZ_CP109416.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"40","GCF_036226385.1_NZ_CP108463.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"41","GCF_036118775.1_NZ_CP107998.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"42","GCF_035982055.1_NZ_CP108427.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"43","GCF_033335955.1_NZ_CP137549.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"44","GCF_045040365.1_NZ_CP130730.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"45","GCF_045209635.1_NZ_CP109293.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"46","GCF_032105745.1_NZ_CP134875.1.region005",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\index.html","#r1c5","NI-siderophore","0",0,"Streptomyces"
"47","GCF_036226765.1_NZ_CP109017.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"48","GCF_045041055.1_NZ_CP108339.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"49","GCF_036189845.1_NZ_CP108326.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"50","GCF_021442415.2_NZ_CP150879.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"51","GCF_045206515.1_NZ_CP108323.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"52","GCF_045206425.1_NZ_CP108324.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"53","GCF_036189065.1_NZ_CP108325.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189065.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"54","GCF_036224405.1_NZ_CP108330.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036224405.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"55","GCF_036190545.1_NZ_CP108329.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036190545.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"56","GCF_036226185.1_NZ_CP108343.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226185.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"57","GCF_041439005.1_NZ_CP109581.1.region010",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041439005.1\index.html","#r1c10","NI-siderophore","0",0,"Streptomyces"
"58","GCF_037099765.1_NZ_CP146837.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037099765.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"59","GCF_036347095.1_NZ_CP108895.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036347095.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"60","GCF_028885415.1_NZ_CP118527.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028885415.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"61","GCF_022807935.1_NZ_CP094344.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022807935.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"62","GCF_006716135.1_NZ_CP022310.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_006716135.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"63","GCF_044590125.1_NZ_CP172447.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_044590125.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"64","GCF_045039985.1_NZ_CP109571.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045039985.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"65","GCF_045276945.1_NZ_CP109242.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045276945.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"66","GCF_045209725.1_NZ_CP109275.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209725.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"67","GCF_045206015.1_NZ_CP108200.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206015.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"68","GCF_035917655.1_NZ_CP109102.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035917655.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"69","GCF_033406955.1_NZ_CP137734.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033406955.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"70","GCF_003369795.1_NZ_CP026730.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003369795.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"71","GCF_046628145.1_NZ_CP176874.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046628145.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"72","GCF_045041415.1_NZ_CP108218.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041415.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"73","GCF_036101175.1_NZ_CP107977.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036101175.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"74","GCF_027947595.1_NZ_CP116257.1.region004",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_027947595.1\index.html","#r1c4","NI-siderophore","0",0,"Streptomyces"
"75","GCF_036130235.1_NZ_CP108008.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036130235.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"76","GCF_036226945.1_NZ_CP109205.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226945.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"77","GCF_008931305.1_NZ_CP042324.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008931305.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"78","GCF_013317105.1_NZ_CP050522.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013317105.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces"
"79","GCF_000739105.1_NZ_CP009124.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000739105.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"80","GCF_009495655.1_NZ_CP045547.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009495655.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"81","GCF_030930975.1_NZ_CP133215.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030930975.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"82","GCF_001660045.1_NZ_CP015866.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001660045.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"83","GCF_030028615.1_NZ_CP124542.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030028615.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"84","GCF_036246005.1_NZ_CP109171.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036246005.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"85","GCF_021383925.1_NZ_CP085300.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021383925.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"86","GCF_030552875.1_NZ_CP130681.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030552875.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"87","GCF_013364375.1_NZ_CP054920.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013364375.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"88","GCF_003950055.1_NZ_CP034353.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003950055.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"89","GCF_045039645.1_NZ_CP108643.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045039645.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"90","GCF_018310575.1_NZ_CP074111.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_018310575.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"91","GCF_000772045.1_NZ_CP009754.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000772045.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces"
"92","GCF_044591655.1_NZ_CP172448.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_044591655.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"93","GCF_001767375.1_NZ_CP016795.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001767375.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"94","GCF_011650445.1_NZ_CP036534.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_011650445.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"95","GCF_022827705.1_NZ_CP094676.1.region006",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022827705.1\index.html","#r1c6","NI-siderophore","0",0,"Streptomyces"
"96","GCF_029866785.1_NZ_CP102359.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_029866785.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"97","GCF_015244315.1_NZ_CP043317.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015244315.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"98","GCF_001632865.1_NZ_CP012949.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001632865.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"99","GCF_001267885.1_NZ_CP012382.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001267885.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"100","GCF_030863865.1_NZ_CP121271.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030863865.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"101","GCF_034422375.1_NZ_CP139824.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_034422375.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"102","GCF_020034615.1_NZ_CP083267.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020034615.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"103","GCF_020034615.2_NZ_CP083267.2.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_020034615.2\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"104","GCF_005490965.1_NZ_CP027297.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_005490965.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"105","GCF_004795715.1_NZ_CP039123.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_004795715.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces"
"106","GCF_040819605.1_NZ_CP161948.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_040819605.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"107","GCF_964272505.1_NZ_OZ186791.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_964272505.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"108","GCF_964272455.1_NZ_OZ186793.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_964272455.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"109","GCF_964272335.1_NZ_OZ186760.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_964272335.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"110","GCF_002005225.1_NZ_CP019724.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002005225.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces"
"111","GCF_031583065.1_NZ_CP134053.1.region003",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031583065.1\index.html","#r1c3","NI-siderophore","0",0,"Streptomyces"
"112","GCF_021029465.1_NZ_CP084203.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021029465.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"113","GCF_023702655.1_NZ_CP098485.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_023702655.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"114","GCF_003955715.1_NZ_CP034463.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces"
"115","GCF_024612035.1_NZ_CP102513.1.region024",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024612035.1\index.html","#r1c24","NI-siderophore","0",0,"Streptomyces"
"116","GCF_024612015.1_NZ_CP102512.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024612015.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"117","GCF_001685355.1_NZ_CP016438.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001685355.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"118","GCF_003344445.1_NZ_CP022744.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003344445.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"119","GCF_014083905.1_NZ_CP046024.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_014083905.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces"
"120","GCF_025402955.1_NZ_CP104794.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025402955.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"121","GCF_045161325.1_NZ_CP107760.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161325.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
"122","GCF_035917115.1_NZ_CP107810.1.region007",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035917115.1\index.html","#r1c7","NI-siderophore","0",0,"Streptomyces"
"123","GCF_036347155.1_NZ_CP108971.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036347155.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"124","GCF_036346085.1_NZ_CP107809.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346085.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces"
"125","GCF_045161765.1_NZ_CP108978.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161765.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"126","GCF_045161645.1_NZ_CP130729.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161645.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"127","GCF_041431155.1_NZ_CP107813.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041431155.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces"
"128","GCF_045161695.1_NZ_CP130728.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161695.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces"
"129","GCF_045161705.1_NZ_CP109034.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161705.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"130","GCF_045161505.1_NZ_CP130731.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161505.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces"
"131","GCF_045209695.1_NZ_CP109280.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209695.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces"
"132","GCF_045161545.1_NZ_CP109046.1.region008",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161545.1\index.html","#r1c8","NI-siderophore","0",0,"Streptomyces"
"133","GCF_045161725.1_NZ_CP108987.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161725.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces"
