Unnamed: 0,X,dataname,syn_group,html_path,region_name,syn_type,Most.similar.known.cluster,Similarity,Genus,strainName,folder_path,BGC_number,version,gbk_path,definition,length,topology
11,11,GCF_002812405.1_NZ_CP025018.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_002812405.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\,48,NZ_CP025018.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\GCF_002812405.1.gbk,Streptomyces sp. M56 chromosome.,11742376,linear
12,12,GCF_021233395.1_NZ_CP089536.1.region029,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\index.html,#r1c29,NI-siderophore,0,0.0,Streptomyces,GCF_021233395.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\,49,NZ_CP089536.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\GCF_021233395.1.gbk,"Streptomyces sp. HNM0561 chromosome, complete genome.",11656895,linear
13,13,GCF_015689475.1_NZ_CP065050.1.region028,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\index.html,#r1c28,NI-siderophore,0,0.0,Streptomyces,GCF_015689475.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\,48,NZ_CP065050.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\GCF_015689475.1.gbk,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome.",11639536,linear
14,14,GCF_013414305.1_NZ_CP058693.1.region025,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\index.html,#r1c25,NI-siderophore,0,0.0,Streptomyces,GCF_013414305.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\,39,NZ_CP058693.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\GCF_013414305.1.gbk,Streptomyces sp. Rer75 chromosome.,10474412,linear
15,15,GCF_003945525.1_NZ_CP029601.1.region008,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\index.html,#r1c8,NI-siderophore,0,0.0,Streptomyces,GCF_003945525.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\,22,NZ_CP029601.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\GCF_003945525.1.gbk,"Streptomyces sp. WAC 01438 chromosome, complete genome.",8138328,linear
16,16,GCF_041052385.1_NZ_CP163439.1.region026,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\index.html,#r1c26,NI-siderophore,0,0.0,Streptomyces,GCF_041052385.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\,45,NZ_CP163439.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\GCF_041052385.1.gbk,"Streptomyces sp. R28 chromosome, complete genome.",10762582,linear
17,17,GCF_045041015.1_NZ_CP108302.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\index.html,#r1c17,NI-siderophore,0,0.0,Streptomyces,GCF_045041015.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\,28,NZ_CP108302.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\GCF_045041015.1.gbk,"Streptomyces sp. NBC_00019 chromosome, complete genome.",11287307,linear
18,18,GCF_028473745.1_NZ_CP101137.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_028473745.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\,28,NZ_CP101137.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\GCF_028473745.1.gbk,"Streptomyces sp. M92 chromosome, complete genome.",7680776,linear
19,19,GCF_033216215.1_NZ_CP137524.1.region008,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\index.html,#r1c8,NI-siderophore,0,0.0,Streptomyces,GCF_033216215.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\,30,NZ_CP137524.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\GCF_033216215.1.gbk,"Streptomyces coeruleorubidus strain CICC 11043 chromosome, complete genome.",9090289,linear
20,20,GCF_045206315.1_NZ_CP108128.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_045206315.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\,28,NZ_CP108128.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\GCF_045206315.1.gbk,"Streptomyces sp. NBC_00197 chromosome, complete genome.",9282310,linear
21,21,GCF_035983575.1_NZ_CP108435.1.region019,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\index.html,#r1c19,NI-siderophore,0,0.0,Streptomyces,GCF_035983575.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\,30,NZ_CP108435.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\GCF_035983575.1.gbk,"Streptomyces sp. NBC_01281 chromosome, complete genome.",9452090,linear
22,22,GCF_036231965.1_NZ_CP109499.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\index.html,#r1c17,NI-siderophore,0,0.0,Streptomyces,GCF_036231965.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\,28,NZ_CP109499.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\GCF_036231965.1.gbk,"Streptomyces sp. NBC_01428 chromosome, complete genome.",9077533,linear
23,23,GCF_025643355.1_NZ_CP092644.1.region012,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\index.html,#r1c12,NI-siderophore,0,0.0,Streptomyces,GCF_025643355.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\,33,NZ_CP092644.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\GCF_025643355.1.gbk,"Streptomyces sp. SCSIO ZS0520 chromosome, complete genome.",7919716,linear
24,24,GCF_003675345.1_NZ_CP033071.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_003675345.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\,37,NZ_CP033071.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\GCF_003675345.1.gbk,"Streptomyces albus strain ZD11 chromosome, complete genome.",8317371,linear
25,25,GCF_001753425.1_NZ_CP016825.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_001753425.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\,37,NZ_CP016825.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\GCF_001753425.1.gbk,"Streptomyces albus strain BK3-25 chromosome, complete genome.",8308430,linear
26,26,GCF_000827005.1_NZ_CP010519.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_000827005.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\,38,NZ_CP010519.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\GCF_000827005.1.gbk,"Streptomyces albus strain DSM 41398 chromosome, complete genome.",8384669,linear
27,27,GCF_046267975.1_NZ_CP176503.1.region014,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\index.html,#r1c14,NI-siderophore,0,0.0,Streptomyces,GCF_046267975.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\,29,NZ_CP176503.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\GCF_046267975.1.gbk,"Streptomyces sp. HC307 chromosome, complete genome.",10014678,linear
28,28,GCF_036227225.1_NZ_CP109444.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_036227225.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\,36,NZ_CP109444.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\GCF_036227225.1.gbk,"Streptomyces sp. NBC_01478 chromosome, complete genome.",12124816,linear
29,29,GCF_045162655.1_NZ_CP108728.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_045162655.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\,37,NZ_CP108728.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\GCF_045162655.1.gbk,"Streptomyces sp. NBC_00989 chromosome, complete genome.",11950319,linear
30,30,GCF_045162565.1_NZ_CP108733.1.region015,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\index.html,#r1c15,NI-siderophore,0,0.0,Streptomyces,GCF_045162565.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\,33,NZ_CP108733.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\GCF_045162565.1.gbk,"Streptomyces sp. NBC_00986 chromosome, complete genome.",11750813,linear
31,31,GCF_045162645.1_NZ_CP108730.1.region021,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\index.html,#r1c21,NI-siderophore,0,0.0,Streptomyces,GCF_045162645.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\,35,NZ_CP108730.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\GCF_045162645.1.gbk,"Streptomyces sp. NBC_00988 chromosome, complete genome.",12375414,linear
32,32,GCF_045162825.1_NZ_CP108676.1.region017,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\index.html,#r1c17,NI-siderophore,0,0.0,Streptomyces,GCF_045162825.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\,27,NZ_CP108676.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\GCF_045162825.1.gbk,"Streptomyces prunicolor strain NBC_01021 chromosome, complete genome.",10948847,linear
33,33,GCF_036187565.1_NZ_CP108087.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_036187565.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\,30,NZ_CP108087.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\GCF_036187565.1.gbk,"Streptomyces sp. NBC_00252 chromosome, complete genome.",10137727,linear
34,34,GCF_036196325.1_NZ_CP108102.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_036196325.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\,32,NZ_CP108102.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\GCF_036196325.1.gbk,"Streptomyces sp. NBC_00228 chromosome, complete genome.",10117404,linear
35,35,GCF_045160925.1_NZ_CP108145.1.region013,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\index.html,#r1c13,NI-siderophore,0,0.0,Streptomyces,GCF_045160925.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\,32,NZ_CP108145.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\GCF_045160925.1.gbk,"Streptomyces sp. NBC_00172 chromosome, complete genome.",10121374,linear
36,36,GCF_045160915.1_NZ_CP108147.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_045160915.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\,32,NZ_CP108147.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\GCF_045160915.1.gbk,"Streptomyces sp. NBC_00169 chromosome, complete genome.",10117317,linear
37,37,GCF_036226645.1_NZ_CP109004.1.region018,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\index.html,#r1c18,NI-siderophore,0,0.0,Streptomyces,GCF_036226645.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\,41,NZ_CP109004.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\GCF_036226645.1.gbk,"Streptomyces sp. NBC_00696 chromosome, complete genome.",11090730,linear
38,38,GCF_041051895.1_NZ_CP163431.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_041051895.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\,32,NZ_CP163431.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\GCF_041051895.1.gbk,"Streptomyces sp. R08 chromosome, complete genome.",10909712,linear
39,39,GCF_045040345.1_NZ_CP109416.1.region018,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\index.html,#r1c18,NI-siderophore,0,0.0,Streptomyces,GCF_045040345.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\,31,NZ_CP109416.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\GCF_045040345.1.gbk,"Streptomyces sp. NBC_01515 chromosome, complete genome.",11325605,linear
40,40,GCF_036226385.1_NZ_CP108463.1.region014,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\index.html,#r1c14,NI-siderophore,0,0.0,Streptomyces,GCF_036226385.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\,30,NZ_CP108463.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\GCF_036226385.1.gbk,"Streptomyces sp. NBC_01261 chromosome, complete genome.",11585837,linear
41,41,GCF_036118775.1_NZ_CP107998.1.region012,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\index.html,#r1c12,NI-siderophore,0,0.0,Streptomyces,GCF_036118775.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\,27,NZ_CP107998.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\GCF_036118775.1.gbk,"Streptomyces sp. NBC_00343 chromosome, complete genome.",10725031,linear
42,42,GCF_035982055.1_NZ_CP108427.1.region011,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\index.html,#r1c11,NI-siderophore,0,0.0,Streptomyces,GCF_035982055.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\,30,NZ_CP108427.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\GCF_035982055.1.gbk,"Streptomyces sp. NBC_01288 chromosome, complete genome.",10558057,linear
43,43,GCF_033335955.1_NZ_CP137549.1.region012,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\index.html,#r1c12,NI-siderophore,0,0.0,Streptomyces,GCF_033335955.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\,32,NZ_CP137549.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\GCF_033335955.1.gbk,"Streptomyces sp. N50 chromosome, complete genome.",10079986,linear
44,44,GCF_045040365.1_NZ_CP130730.1.region020,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\index.html,#r1c20,NI-siderophore,0,0.0,Streptomyces,GCF_045040365.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\,32,NZ_CP130730.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\GCF_045040365.1.gbk,"Streptomyces sp. NBC_01518 chromosome, complete genome.",11904336,linear
45,45,GCF_045209635.1_NZ_CP109293.1.region012,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\index.html,#r1c12,NI-siderophore,0,0.0,Streptomyces,GCF_045209635.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\,33,NZ_CP109293.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\GCF_045209635.1.gbk,"Streptomyces sp. NBC_01622 chromosome, complete genome.",11696066,linear
46,46,GCF_032105745.1_NZ_CP134875.1.region005,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\index.html,#r1c5,NI-siderophore,0,0.0,Streptomyces,GCF_032105745.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\,30,NZ_CP134875.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\GCF_032105745.1.gbk,"Streptomyces sp. Li-HN-5-11 chromosome, complete genome.",9427803,linear
47,47,GCF_036226765.1_NZ_CP109017.1.region014,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\index.html,#r1c14,NI-siderophore,0,0.0,Streptomyces,GCF_036226765.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\,21,NZ_CP109017.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\GCF_036226765.1.gbk,"Streptomyces sp. NBC_00670 chromosome, complete genome.",7583196,linear
48,48,GCF_045041055.1_NZ_CP108339.1.region009,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_045041055.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\,25,NZ_CP108339.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\GCF_045041055.1.gbk,"Streptomyces jietaisiensis strain NBC_00023 chromosome, complete genome.",7551461,linear
49,49,GCF_036189845.1_NZ_CP108326.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_036189845.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\,24,NZ_CP108326.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\GCF_036189845.1.gbk,"Streptomyces jietaisiensis strain NBC_00521 chromosome, complete genome.",7415029,linear
50,50,GCF_021442415.2_NZ_CP150879.1.region009,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\index.html,#r1c9,NI-siderophore,0,0.0,Streptomyces,GCF_021442415.2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\,24,NZ_CP150879.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\GCF_021442415.2.gbk,"Streptomyces sp. MH191 chromosome, complete genome.",7102631,linear
51,51,GCF_045206515.1_NZ_CP108323.1.region018,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\index.html,#r1c18,NI-siderophore,0,0.0,Streptomyces,GCF_045206515.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\,26,NZ_CP108323.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\GCF_045206515.1.gbk,"Streptomyces jietaisiensis strain NBC_00616 chromosome, complete genome.",7528880,linear
52,52,GCF_045206425.1_NZ_CP108324.1.region016,2,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\index.html,#r1c16,NI-siderophore,0,0.0,Streptomyces,GCF_045206425.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\,24,NZ_CP108324.1,\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\GCF_045206425.1.gbk,"Streptomyces jietaisiensis strain NBC_00595 chromosome, complete genome.",7533398,linear
