Tag,gbk_path,ACCESSION,VERSION
H351_RS19830,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS20100,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS20625,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS20630,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS22165,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS24320,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26110,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26525,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26575,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26840,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26885,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26905,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26965,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS26975,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS27545,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
H351_RS28155,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000696675.2\GCF_000696675.2.gbk,NZ_CP007255,NZ_CP007255.1
XU06_RS00095,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS00590,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS00770,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS00780,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS01565,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS02395,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS03595,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04220,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04805,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04815,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04875,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04895,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS04940,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS05230,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS05280,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS05705,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS07555,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS09710,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS11235,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS11240,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS11775,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS12045,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS12615,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS13295,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS13805,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS14960,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS15610,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
XU06_RS16080,\\192.168.1.106\Pdisk7\yll\Rhodococcus\antismash_results\GCF_000975175.1\GCF_000975175.1.gbk,NZ_CP011295,NZ_CP011295.1
