"","sider_index","dataname","gbk_path","receptor_index","absolute_distance","relative_distance","most_similar_siderophore"
"19",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",13,107886,0.0141004908627026,"coelichelin"
"20",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",14,95756,0.0125151233992265,"coelichelin"
"21",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",15,0,0,"coelichelin"
"22",2,"GCF_024297125.1_NZ_CP101140.1.region024","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024297125.1\GCF_024297125.1.gbk",16,49057,0.00641165471193298,"coelichelin"
"23",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",1,6468091,0.750775430534865,"coelichelin"
"24",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",2,6404380,0.74338025729831,"coelichelin"
"25",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",3,6098831,0.70791404601209,"coelichelin"
"26",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",4,5618029,0.652105565804866,"coelichelin"
"27",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",5,4811243,0.558458907695154,"coelichelin"
"28",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",6,4799492,0.557094925326289,"coelichelin"
"29",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",7,4249210,0.493221642550028,"coelichelin"
"30",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",8,3356073,0.389551902018917,"coelichelin"
"31",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",9,3005240,0.348829408068099,"coelichelin"
"32",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",10,933906,0.108401950317195,"coelichelin"
"33",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",11,0,0,"coelichelin"
"34",3,"GCF_009296025.1_NZ_CP045178.1.region026","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009296025.1\GCF_009296025.1.gbk",12,1203435,0.139687185948022,"coelichelin"
"35",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",1,10332826,0.927353345703638,"coelichelin"
"36",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",2,9680903,0.868844378728761,"coelichelin"
"37",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",3,8335195,0.748069402343776,"coelichelin"
"38",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",4,7397907,0.663949417870228,"coelichelin"
"39",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",5,4144799,0.371988575044145,"coelichelin"
"40",4,"GCF_001650215.1_NZ_CP015726.1.region038","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001650215.1\GCF_001650215.1.gbk",6,0,0,"coelichelin"
"41",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",1,273127,0.0377287154966948,"coelichelin"
"42",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",2,40949,0.00565653769445773,"coelichelin"
"43",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",3,33831,0.00467328449391193,"coelichelin"
"44",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",4,0,0,"coelichelin"
"45",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",5,620584,0.0857250919088953,"coelichelin"
"46",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",6,1375262,0.189973414314277,"coelichelin"
"47",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",7,1847368,0.25518832517363,"coelichelin"
"48",5,"GCF_036346615.1_NZ_CP107836.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346615.1\GCF_036346615.1.gbk",8,4031422,0.556885162159422,"coelichelin"
"49",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",1,6702857,0.848233673557842,"coelichelin"
"50",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",2,5393978,0.682597551168134,"coelichelin"
"51",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",3,4896688,0.619666457229597,"coelichelin"
"52",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",4,3850220,0.487237942657269,"coelichelin"
"53",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",5,2086357,0.264024469336451,"coelichelin"
"54",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",6,1622980,0.205385000382808,"coelichelin"
"55",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",7,1577314,0.199606055831747,"coelichelin"
"56",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",8,1547890,0.195882505171071,"coelichelin"
"57",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",9,749807,0.0948866350676115,"coelichelin"
"58",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",10,0,0,"coelichelin"
"59",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",11,27669,0.00350145878297447,"coelichelin"
"60",6,"GCF_031844705.1_NZ_CP134609.1.region016","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_031844705.1\GCF_031844705.1.gbk",12,263137,0.0332994817223447,"coelichelin"
"61",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",1,45904,0.00540218212664318,"coelichelin"
"62",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",2,32747,0.00385380921273057,"coelichelin"
"63",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",3,0,0,"coelichelin"
"64",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",4,1784375,0.209993001312063,"coelichelin"
"65",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",5,1821481,0.214359796580258,"coelichelin"
"66",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",6,2345811,0.276065228665976,"coelichelin"
"67",7,"GCF_045207435.1_NZ_CP108800.1.region004","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207435.1\GCF_045207435.1.gbk",7,4254373,0.500673095605467,"coelichelin"
"68",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",1,7231915,0.967800062361744,"coelichelin"
"69",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",2,7212628,0.965219008822982,"coelichelin"
"70",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",3,7180165,0.960874697057088,"coelichelin"
"71",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",4,5956201,0.79707957010544,"coelichelin"
"72",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",5,5257831,0.703621263481043,"coelichelin"
"73",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",6,4701720,0.629200551888049,"coelichelin"
"74",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",7,471102,0.0630445110290624,"coelichelin"
"75",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",8,454369,0.060805242668815,"coelichelin"
"76",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",9,393297,0.052632374844932,"coelichelin"
"77",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",10,392130,0.0524762028389314,"coelichelin"
"78",8,"GCF_001654495.1_NZ_CP015849.1.region025","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001654495.1\GCF_001654495.1.gbk",11,0,0,"coelichelin"
"79",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",1,723454,0.0733754147216973,"coelichelin"
"80",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",2,0,0,"coelichelin"
"81",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",3,0,0,"coelichelin"
"82",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",4,2277452,0.230987713121717,"coelichelin"
"83",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",5,4818756,0.488736284466832,"coelichelin"
"84",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",6,6497546,0.659005454974754,"coelichelin"
"85",9,"GCF_036226885.1_NZ_CP109027.1.region005","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226885.1\GCF_036226885.1.gbk",7,7576949,0.768482550653047,"coelichelin"
"86",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",1,697450,0.0715971318853148,"coelichelin"
"87",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",2,0,0,"coelichelin"
"88",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",3,0,0,"coelichelin"
"89",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",4,4904939,0.503519341131872,"coelichelin"
"90",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",5,5614397,0.576349161180753,"coelichelin"
"91",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",6,6550909,0.672487340514296,"coelichelin"
"92",10,"GCF_045041065.1_NZ_CP108293.1.region007","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041065.1\GCF_045041065.1.gbk",7,7644807,0.784782070423368,"coelichelin"
"93",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",1,951030,0.0914980940422573,"coelichelin"
"94",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",2,0,0,"coelichelin"
"95",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",3,678071,0.065236852807301,"coelichelin"
"96",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",4,2539419,0.244316160872628,"coelichelin"
"97",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",5,7475613,0.719224778710999,"coelichelin"
"98",11,"GCF_003955715.1_NZ_CP034463.1.region006","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\GCF_003955715.1.gbk",6,8204523,0.789352824859219,"coelichelin"
"99",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",1,6689471,0.791171086122531,"coelichelin"
"100",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",2,6250816,0.739290877241577,"coelichelin"
"101",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",3,1728550,0.204437507975907,"coelichelin"
"102",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",4,1279935,0.15137931895007,"coelichelin"
"103",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",5,464572,0.0549454409507293,"coelichelin"
"104",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",6,0,0,"coelichelin"
"105",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",7,522153,0.0617556090955679,"coelichelin"
"106",12,"GCF_036237315.1_NZ_CP108356.1.region023","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\GCF_036237315.1.gbk",8,628846,0.0743743074487966,"coelichelin"
"107",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",1,1698984,0.196963853024861,"coelichelin"
"108",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",2,1602357,0.185761848635042,"coelichelin"
"109",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",3,848291,0.0983426941315001,"coelichelin"
"110",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",4,0,0,"coelichelin"
"111",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",5,2985184,0.34607350194479,"coelichelin"
"112",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",6,3588429,0.416007921290695,"coelichelin"
"113",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",7,4272470,0.495309051252471,"coelichelin"
"114",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",8,4814850,0.558187368295848,"coelichelin"
"115",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",9,5162011,0.598433873371801,"coelichelin"
"116",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",10,5362289,0.621652177108689,"coelichelin"
"117",13,"GCF_001975025.1_NZ_CP015588.1.region015","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\GCF_001975025.1.gbk",11,5577317,0.64658045388365,"coelichelin"
"118",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",1,1715508,0.212277042088197,"coelichelin"
"119",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",2,848325,0.104971776132475,"coelichelin"
"120",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",3,0,0,"coelichelin"
"121",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",4,2904935,0.359456796038537,"coelichelin"
"122",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",5,3508155,0.434099267731145,"coelichelin"
"123",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",6,4192333,0.518759486221422,"coelichelin"
"124",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",7,4734715,0.585873860880054,"coelichelin"
"125",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",8,5081875,0.62883145590808,"coelichelin"
"126",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",9,5282153,0.653613865220855,"coelichelin"
"127",14,"GCF_003573485.1_NZ_CP032266.1.region014","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\GCF_003573485.1.gbk",10,5497181,0.680221440240115,"coelichelin"
"128",15,"GCF_018141485.1_NZ_CP060742.1.region021","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_018141485.1\GCF_018141485.1.gbk",1,5742648,0.695738266193444,"coelichelin"
