"dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus","strain_name","combined"
"GCF_003955715.1_NZ_CP034463.1.region006",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003955715.1\index.html","#r1c6","NRP-metallophore,NRPS,T1PKS,NRPS-like","coelichelin",1,"Streptomyces","GCF_003955715.1","GCF_003955715.1_NZ_CP034463.1.region006_#r1c6"
"GCF_036237315.1_NZ_CP108356.1.region023",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237315.1\index.html","#r1c23","T1PKS,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_036237315.1","GCF_036237315.1_NZ_CP108356.1.region023_#r1c23"
"GCF_001975025.1_NZ_CP015588.1.region015",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001975025.1\index.html","#r1c15","NRP-metallophore,NRPS,NI-siderophore","coelichelin",1,"Streptomyces","GCF_001975025.1","GCF_001975025.1_NZ_CP015588.1.region015_#r1c15"
"GCF_003573485.1_NZ_CP032266.1.region014",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003573485.1\index.html","#r1c14","NRP-metallophore,NRPS,NI-siderophore","coelichelin",1,"Streptomyces","GCF_003573485.1","GCF_003573485.1_NZ_CP032266.1.region014_#r1c14"
"GCF_018141485.1_NZ_CP060742.1.region021",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_018141485.1\index.html","#r1c21","NI-siderophore,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_018141485.1","GCF_018141485.1_NZ_CP060742.1.region021_#r1c21"
"GCF_016128295.1_NZ_CP065959.1.region021",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016128295.1\index.html","#r1c21","NI-siderophore,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_016128295.1","GCF_016128295.1_NZ_CP065959.1.region021_#r1c21"
"GCF_008642315.1_NZ_CP029192.1.region014",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008642315.1\index.html","#r1c14","NRP-metallophore,NRPS,NI-siderophore","coelichelin",1,"Streptomyces","GCF_008642315.1","GCF_008642315.1_NZ_CP029192.1.region014_#r1c14"
"GCF_008642355.1_NZ_CP029193.1.region018",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008642355.1\index.html","#r1c18","NI-siderophore,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_008642355.1","GCF_008642355.1_NZ_CP029193.1.region018_#r1c18"
"GCF_008642335.1_NZ_CP029191.1.region017",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_008642335.1\index.html","#r1c17","NI-siderophore,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_008642335.1","GCF_008642335.1_NZ_CP029191.1.region017_#r1c17"
"GCF_026810505.1_NZ_CP101750.1.region020",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_026810505.1\index.html","#r1c20","NI-siderophore,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_026810505.1","GCF_026810505.1_NZ_CP101750.1.region020_#r1c20"
"GCF_035950875.1_NZ_CP108367.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035950875.1\index.html","#r1c4","NRP-metallophore,NRPS,melanin","coelichelin",0.9,"Streptomyces","GCF_035950875.1","GCF_035950875.1_NZ_CP108367.1.region004_#r1c4"
"GCF_014495705.1_NZ_CP061072.1.region033",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_014495705.1\index.html","#r1c33","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_014495705.1","GCF_014495705.1_NZ_CP061072.1.region033_#r1c33"
"GCF_036346555.1_NZ_CP107823.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346555.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036346555.1","GCF_036346555.1_NZ_CP107823.1.region030_#r1c30"
"GCF_036346915.1_NZ_CP107857.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036346915.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036346915.1","GCF_036346915.1_NZ_CP107857.1.region030_#r1c30"
"GCF_045208455.1_NZ_CP109347.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045208455.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045208455.1","GCF_045208455.1_NZ_CP109347.1.region030_#r1c30"
"GCF_045208495.1_NZ_CP109341.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045208495.1\index.html","#r1c31","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045208495.1","GCF_045208495.1_NZ_CP109341.1.region031_#r1c31"
"GCF_045208205.1_NZ_CP109387.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045208205.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045208205.1","GCF_045208205.1_NZ_CP109387.1.region030_#r1c30"
"GCF_045210015.1_NZ_CP109252.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045210015.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045210015.1","GCF_045210015.1_NZ_CP109252.1.region030_#r1c30"
"GCF_045209825.1_NZ_CP109256.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209825.1\index.html","#r1c4","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045209825.1","GCF_045209825.1_NZ_CP109256.1.region004_#r1c4"
"GCF_045041435.1_NZ_CP108207.1.region003",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041435.1\index.html","#r1c3","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045041435.1","GCF_045041435.1_NZ_CP108207.1.region003_#r1c3"
"GCF_036206925.1_NZ_CP108146.1.region003",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036206925.1\index.html","#r1c3","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036206925.1","GCF_036206925.1_NZ_CP108146.1.region003_#r1c3"
"GCF_035917915.1_NZ_CP109125.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035917915.1\index.html","#r1c4","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_035917915.1","GCF_035917915.1_NZ_CP109125.1.region004_#r1c4"
"GCF_036010525.1_NZ_CP108571.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036010525.1\index.html","#r1c4","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036010525.1","GCF_036010525.1_NZ_CP108571.1.region004_#r1c4"
"GCF_016598615.1_NZ_CP066831.1.region011",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_016598615.1\index.html","#r1c11","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_016598615.1","GCF_016598615.1_NZ_CP066831.1.region011_#r1c11"
"GCF_036133475.1_NZ_CP108011.1.region012",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036133475.1\index.html","#r1c12","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_036133475.1","GCF_036133475.1_NZ_CP108011.1.region012_#r1c12"
"GCF_035918055.1_NZ_CP109135.1.region010",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035918055.1\index.html","#r1c10","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_035918055.1","GCF_035918055.1_NZ_CP109135.1.region010_#r1c10"
"GCF_035917195.1_NZ_CP108134.1.region010",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035917195.1\index.html","#r1c10","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_035917195.1","GCF_035917195.1_NZ_CP108134.1.region010_#r1c10"
"GCF_035957715.1_NZ_CP108382.1.region023",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035957715.1\index.html","#r1c23","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_035957715.1","GCF_035957715.1_NZ_CP108382.1.region023_#r1c23"
"GCF_045040175.1_NZ_CP109531.1.region022",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040175.1\index.html","#r1c22","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045040175.1","GCF_045040175.1_NZ_CP109531.1.region022_#r1c22"
"GCF_045162745.1_NZ_CP108690.1.region022",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162745.1\index.html","#r1c22","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045162745.1","GCF_045162745.1_NZ_CP108690.1.region022_#r1c22"
"GCF_045207355.1_NZ_CP108832.1.region010",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045207355.1\index.html","#r1c10","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045207355.1","GCF_045207355.1_NZ_CP108832.1.region010_#r1c10"
"GCF_045039855.1_NZ_CP108589.1.region010",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045039855.1\index.html","#r1c10","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045039855.1","GCF_045039855.1_NZ_CP108589.1.region010_#r1c10"
"GCF_009936315.1_NZ_AP019620.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_009936315.1\index.html","#r1c4","NRP-metallophore,NRPS,ladderane","coelichelin",0.81,"Streptomyces","GCF_009936315.1","GCF_009936315.1_NZ_AP019620.1.region004_#r1c4"
"GCF_018069625.1_NZ_CP072941.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_018069625.1\index.html","#r1c2","NRP-metallophore,NRPS,ladderane","coelichelin",0.9,"Streptomyces","GCF_018069625.1","GCF_018069625.1_NZ_CP072941.1.region002_#r1c2"
"GCF_002007685.1_NZ_CP019798.1.region022",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002007685.1\index.html","#r1c22","terpene,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_002007685.1","GCF_002007685.1_NZ_CP019798.1.region022_#r1c22"
"GCF_024666385.1_NZ_CP102514.1.region015",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_024666385.1\index.html","#r1c15","terpene,NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_024666385.1","GCF_024666385.1_NZ_CP102514.1.region015_#r1c15"
"GCF_036607905.1_NZ_CP144555.1.region021",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036607905.1\index.html","#r1c21","NRP-metallophore,NRPS","coelichelin",0.81,"Streptomyces","GCF_036607905.1","GCF_036607905.1_NZ_CP144555.1.region021_#r1c21"
"GCF_045206335.1_NZ_CP108125.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206335.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_045206335.1","GCF_045206335.1_NZ_CP108125.1.region002_#r1c2"
"GCF_037413555.1_NZ_CP147865.1.region018",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037413555.1\index.html","#r1c18","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_037413555.1","GCF_037413555.1_NZ_CP147865.1.region018_#r1c18"
"GCF_003074055.1_NZ_CP029043.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003074055.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_003074055.1","GCF_003074055.1_NZ_CP029043.1.region002_#r1c2"
"GCF_035980495.1_NZ_CP108422.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035980495.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_035980495.1","GCF_035980495.1_NZ_CP108422.1.region002_#r1c2"
"GCF_035940175.1_NZ_CP108361.1.region003",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035940175.1\index.html","#r1c3","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_035940175.1","GCF_035940175.1_NZ_CP108361.1.region003_#r1c3"
"GCF_036237335.1_NZ_CP108359.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237335.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036237335.1","GCF_036237335.1_NZ_CP108359.1.region026_#r1c26"
"GCF_036237255.1_NZ_CP108351.1.region027",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036237255.1\index.html","#r1c27","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036237255.1","GCF_036237255.1_NZ_CP108351.1.region027_#r1c27"
"GCF_036240075.1_NZ_CP108452.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036240075.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036240075.1","GCF_036240075.1_NZ_CP108452.1.region002_#r1c2"
"GCF_036873195.1_NZ_CP122368.1.region025",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036873195.1\index.html","#r1c25","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036873195.1","GCF_036873195.1_NZ_CP122368.1.region025_#r1c25"
"GCF_045002865.1_NZ_CP173365.1.region025",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045002865.1\index.html","#r1c25","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045002865.1","GCF_045002865.1_NZ_CP173365.1.region025_#r1c25"
"GCF_045208435.1_NZ_CP109352.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045208435.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045208435.1","GCF_045208435.1_NZ_CP109352.1.region002_#r1c2"
"GCF_045208385.1_NZ_CP109375.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045208385.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045208385.1","GCF_045208385.1_NZ_CP109375.1.region002_#r1c2"
"GCF_045161875.1_NZ_CP108817.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161875.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045161875.1","GCF_045161875.1_NZ_CP108817.1.region026_#r1c26"
"GCF_045160945.1_NZ_CP108135.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160945.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045160945.1","GCF_045160945.1_NZ_CP108135.1.region026_#r1c26"
"GCF_045041085.1_NZ_CP108281.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041085.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045041085.1","GCF_045041085.1_NZ_CP108281.1.region002_#r1c2"
"GCF_045041275.1_NZ_CP108233.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041275.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_045041275.1","GCF_045041275.1_NZ_CP108233.1.region002_#r1c2"
"GCF_030406845.1_NZ_CP129125.1.region025",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_030406845.1\index.html","#r1c25","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_030406845.1","GCF_030406845.1_NZ_CP129125.1.region025_#r1c25"
"GCF_004524875.1_NZ_CP038147.1.region024",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_004524875.1\index.html","#r1c24","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_004524875.1","GCF_004524875.1_NZ_CP038147.1.region024_#r1c24"
"GCF_000364805.1_NC_021055.1.region026",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000364805.1\index.html","#r1c26","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_000364805.1","GCF_000364805.1_NC_021055.1.region026_#r1c26"
"GCF_041435475.1_NZ_CP108541.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041435475.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_041435475.1","GCF_041435475.1_NZ_CP108541.1.region002_#r1c2"
"GCF_036010445.1_NZ_CP108565.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036010445.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036010445.1","GCF_036010445.1_NZ_CP108565.1.region002_#r1c2"
"GCF_036010285.1_NZ_CP108545.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036010285.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036010285.1","GCF_036010285.1_NZ_CP108545.1.region002_#r1c2"
"GCF_036010345.1_NZ_CP108551.1.region029",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036010345.1\index.html","#r1c29","NRP-metallophore,NRPS","coelichelin",0.9,"Streptomyces","GCF_036010345.1","GCF_036010345.1_NZ_CP108551.1.region029_#r1c29"
"GCF_001278095.1_NZ_CP011522.1.region034",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001278095.1\index.html","#r1c34","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_001278095.1","GCF_001278095.1_NZ_CP011522.1.region034_#r1c34"
"GCF_002804165.1_NZ_CP024957.1.region005",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002804165.1\index.html","#r1c5","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_002804165.1","GCF_002804165.1_NZ_CP024957.1.region005_#r1c5"
"GCF_003352445.1_NZ_CP030930.1.region005",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003352445.1\index.html","#r1c5","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_003352445.1","GCF_003352445.1_NZ_CP030930.1.region005_#r1c5"
"GCF_026642235.1_NZ_CP113262.1.region006",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_026642235.1\index.html","#r1c6","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_026642235.1","GCF_026642235.1_NZ_CP113262.1.region006_#r1c6"
"GCF_023277965.1_NZ_CP077652.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_023277965.1\index.html","#r1c4","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_023277965.1","GCF_023277965.1_NZ_CP077652.1.region004_#r1c4"
"GCF_037940185.1_NZ_CP149796.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037940185.1\index.html","#r1c31","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_037940185.1","GCF_037940185.1_NZ_CP149796.1.region031_#r1c31"
"GCF_035917555.1_NZ_CP109083.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035917555.1\index.html","#r1c4","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_035917555.1","GCF_035917555.1_NZ_CP109083.1.region004_#r1c4"
"GCF_035578105.1_NZ_CP141532.1.region005",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035578105.1\index.html","#r1c5","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_035578105.1","GCF_035578105.1_NZ_CP141532.1.region005_#r1c5"
"GCF_033109485.1_NZ_CP137002.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033109485.1\index.html","#r1c31","NRP-metallophore,melanin,NRPS","coelichelin",0.81,"Streptomyces","GCF_033109485.1","GCF_033109485.1_NZ_CP137002.1.region031_#r1c31"
"GCF_035918115.1_NZ_CP109140.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035918115.1\index.html","#r1c31","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_035918115.1","GCF_035918115.1_NZ_CP109140.1.region031_#r1c31"
"GCF_045161825.1_NZ_CP108861.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045161825.1\index.html","#r1c31","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_045161825.1","GCF_045161825.1_NZ_CP108861.1.region031_#r1c31"
"GCF_904440645.1_NZ_LR881953.1.region004",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_904440645.1\index.html","#r1c4","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_904440645.1","GCF_904440645.1_NZ_LR881953.1.region004_#r1c4"
"GCF_904440635.1_NZ_LR881952.1.region028",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_904440635.1\index.html","#r1c28","NRP-metallophore,NRPS,melanin","coelichelin",0.81,"Streptomyces","GCF_904440635.1","GCF_904440635.1_NZ_LR881952.1.region028_#r1c28"
"GCF_015244315.1_NZ_CP043317.1.region002",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015244315.1\index.html","#r1c2","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_015244315.1","GCF_015244315.1_NZ_CP043317.1.region002_#r1c2"
"GCF_022827705.1_NZ_CP094676.1.region019",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022827705.1\index.html","#r1c19","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_022827705.1","GCF_022827705.1_NZ_CP094676.1.region019_#r1c19"
"GCF_029866785.1_NZ_CP102359.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_029866785.1\index.html","#r1c31","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_029866785.1","GCF_029866785.1_NZ_CP102359.1.region031_#r1c31"
"GCF_011650445.1_NZ_CP036534.1.region032",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_011650445.1\index.html","#r1c32","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_011650445.1","GCF_011650445.1_NZ_CP036534.1.region032_#r1c32"
"GCF_001767375.1_NZ_CP016795.1.region031",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001767375.1\index.html","#r1c31","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_001767375.1","GCF_001767375.1_NZ_CP016795.1.region031_#r1c31"
"GCF_044496645.1_NZ_CP172414.1.region030",5,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_044496645.1\index.html","#r1c30","NRP-metallophore,NRPS","coelichelin",1,"Streptomyces","GCF_044496645.1","GCF_044496645.1_NZ_CP172414.1.region030_#r1c30"
