"","dataname","syn_group","html_path","region_name","syn_type","Most.similar.known.cluster","Similarity","Genus","filename","path","gbk_address"
"11","GCF_002812405.1_NZ_CP025018.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP025018.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_002812405.1\NZ_CP025018.1.region020.gbk"
"12","GCF_021233395.1_NZ_CP089536.1.region029",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\index.html","#r1c29","NI-siderophore","0",0,"Streptomyces","NZ_CP089536.1.region029.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021233395.1\NZ_CP089536.1.region029.gbk"
"13","GCF_015689475.1_NZ_CP065050.1.region028",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\index.html","#r1c28","NI-siderophore","0",0,"Streptomyces","NZ_CP065050.1.region028.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_015689475.1\NZ_CP065050.1.region028.gbk"
"14","GCF_013414305.1_NZ_CP058693.1.region025",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\index.html","#r1c25","NI-siderophore","0",0,"Streptomyces","NZ_CP058693.1.region025.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_013414305.1\NZ_CP058693.1.region025.gbk"
"15","GCF_003945525.1_NZ_CP029601.1.region008",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\index.html","#r1c8","NI-siderophore","0",0,"Streptomyces","NZ_CP029601.1.region008.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003945525.1\NZ_CP029601.1.region008.gbk"
"16","GCF_041052385.1_NZ_CP163439.1.region026",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\index.html","#r1c26","NI-siderophore","0",0,"Streptomyces","NZ_CP163439.1.region026.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041052385.1\NZ_CP163439.1.region026.gbk"
"17","GCF_045041015.1_NZ_CP108302.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces","NZ_CP108302.1.region017.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041015.1\NZ_CP108302.1.region017.gbk"
"18","GCF_028473745.1_NZ_CP101137.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP101137.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028473745.1\NZ_CP101137.1.region013.gbk"
"19","GCF_033216215.1_NZ_CP137524.1.region008",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\index.html","#r1c8","NI-siderophore","0",0,"Streptomyces","NZ_CP137524.1.region008.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033216215.1\NZ_CP137524.1.region008.gbk"
"20","GCF_045206315.1_NZ_CP108128.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP108128.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206315.1\NZ_CP108128.1.region013.gbk"
"21","GCF_035983575.1_NZ_CP108435.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces","NZ_CP108435.1.region019.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035983575.1\NZ_CP108435.1.region019.gbk"
"22","GCF_036231965.1_NZ_CP109499.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces","NZ_CP109499.1.region017.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036231965.1\NZ_CP109499.1.region017.gbk"
"23","GCF_025643355.1_NZ_CP092644.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces","NZ_CP092644.1.region012.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_025643355.1\NZ_CP092644.1.region012.gbk"
"24","GCF_003675345.1_NZ_CP033071.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP033071.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_003675345.1\NZ_CP033071.1.region013.gbk"
"25","GCF_001753425.1_NZ_CP016825.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP016825.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_001753425.1\NZ_CP016825.1.region013.gbk"
"26","GCF_000827005.1_NZ_CP010519.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP010519.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_000827005.1\NZ_CP010519.1.region013.gbk"
"27","GCF_046267975.1_NZ_CP176503.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces","NZ_CP176503.1.region014.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_046267975.1\NZ_CP176503.1.region014.gbk"
"28","GCF_036227225.1_NZ_CP109444.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP109444.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036227225.1\NZ_CP109444.1.region020.gbk"
"29","GCF_045162655.1_NZ_CP108728.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP108728.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162655.1\NZ_CP108728.1.region016.gbk"
"30","GCF_045162565.1_NZ_CP108733.1.region015",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\index.html","#r1c15","NI-siderophore","0",0,"Streptomyces","NZ_CP108733.1.region015.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162565.1\NZ_CP108733.1.region015.gbk"
"31","GCF_045162645.1_NZ_CP108730.1.region021",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\index.html","#r1c21","NI-siderophore","0",0,"Streptomyces","NZ_CP108730.1.region021.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162645.1\NZ_CP108730.1.region021.gbk"
"32","GCF_045162825.1_NZ_CP108676.1.region017",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\index.html","#r1c17","NI-siderophore","0",0,"Streptomyces","NZ_CP108676.1.region017.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045162825.1\NZ_CP108676.1.region017.gbk"
"33","GCF_036187565.1_NZ_CP108087.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP108087.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036187565.1\NZ_CP108087.1.region013.gbk"
"34","GCF_036196325.1_NZ_CP108102.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP108102.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036196325.1\NZ_CP108102.1.region013.gbk"
"35","GCF_045160925.1_NZ_CP108145.1.region013",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\index.html","#r1c13","NI-siderophore","0",0,"Streptomyces","NZ_CP108145.1.region013.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160925.1\NZ_CP108145.1.region013.gbk"
"36","GCF_045160915.1_NZ_CP108147.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP108147.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045160915.1\NZ_CP108147.1.region020.gbk"
"37","GCF_036226645.1_NZ_CP109004.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces","NZ_CP109004.1.region018.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226645.1\NZ_CP109004.1.region018.gbk"
"38","GCF_041051895.1_NZ_CP163431.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP163431.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041051895.1\NZ_CP163431.1.region020.gbk"
"39","GCF_045040345.1_NZ_CP109416.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces","NZ_CP109416.1.region018.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040345.1\NZ_CP109416.1.region018.gbk"
"40","GCF_036226385.1_NZ_CP108463.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces","NZ_CP108463.1.region014.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226385.1\NZ_CP108463.1.region014.gbk"
"41","GCF_036118775.1_NZ_CP107998.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces","NZ_CP107998.1.region012.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036118775.1\NZ_CP107998.1.region012.gbk"
"42","GCF_035982055.1_NZ_CP108427.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces","NZ_CP108427.1.region011.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_035982055.1\NZ_CP108427.1.region011.gbk"
"43","GCF_033335955.1_NZ_CP137549.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces","NZ_CP137549.1.region012.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_033335955.1\NZ_CP137549.1.region012.gbk"
"44","GCF_045040365.1_NZ_CP130730.1.region020",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\index.html","#r1c20","NI-siderophore","0",0,"Streptomyces","NZ_CP130730.1.region020.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045040365.1\NZ_CP130730.1.region020.gbk"
"45","GCF_045209635.1_NZ_CP109293.1.region012",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\index.html","#r1c12","NI-siderophore","0",0,"Streptomyces","NZ_CP109293.1.region012.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045209635.1\NZ_CP109293.1.region012.gbk"
"46","GCF_032105745.1_NZ_CP134875.1.region005",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\index.html","#r1c5","NI-siderophore","0",0,"Streptomyces","NZ_CP134875.1.region005.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_032105745.1\NZ_CP134875.1.region005.gbk"
"47","GCF_036226765.1_NZ_CP109017.1.region014",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\index.html","#r1c14","NI-siderophore","0",0,"Streptomyces","NZ_CP109017.1.region014.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226765.1\NZ_CP109017.1.region014.gbk"
"48","GCF_045041055.1_NZ_CP108339.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP108339.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045041055.1\NZ_CP108339.1.region009.gbk"
"49","GCF_036189845.1_NZ_CP108326.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP108326.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189845.1\NZ_CP108326.1.region016.gbk"
"50","GCF_021442415.2_NZ_CP150879.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP150879.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_021442415.2\NZ_CP150879.1.region009.gbk"
"51","GCF_045206515.1_NZ_CP108323.1.region018",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\index.html","#r1c18","NI-siderophore","0",0,"Streptomyces","NZ_CP108323.1.region018.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206515.1\NZ_CP108323.1.region018.gbk"
"52","GCF_045206425.1_NZ_CP108324.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP108324.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_045206425.1\NZ_CP108324.1.region016.gbk"
"53","GCF_036189065.1_NZ_CP108325.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189065.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP108325.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189065.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036189065.1\NZ_CP108325.1.region009.gbk"
"54","GCF_036224405.1_NZ_CP108330.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036224405.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP108330.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036224405.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036224405.1\NZ_CP108330.1.region009.gbk"
"55","GCF_036190545.1_NZ_CP108329.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036190545.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP108329.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036190545.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036190545.1\NZ_CP108329.1.region009.gbk"
"56","GCF_036226185.1_NZ_CP108343.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226185.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP108343.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226185.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036226185.1\NZ_CP108343.1.region009.gbk"
"57","GCF_041439005.1_NZ_CP109581.1.region010",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041439005.1\index.html","#r1c10","NI-siderophore","0",0,"Streptomyces","NZ_CP109581.1.region010.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041439005.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_041439005.1\NZ_CP109581.1.region010.gbk"
"58","GCF_037099765.1_NZ_CP146837.1.region009",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037099765.1\index.html","#r1c9","NI-siderophore","0",0,"Streptomyces","NZ_CP146837.1.region009.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037099765.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_037099765.1\NZ_CP146837.1.region009.gbk"
"59","GCF_036347095.1_NZ_CP108895.1.region016",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036347095.1\index.html","#r1c16","NI-siderophore","0",0,"Streptomyces","NZ_CP108895.1.region016.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036347095.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_036347095.1\NZ_CP108895.1.region016.gbk"
"60","GCF_028885415.1_NZ_CP118527.1.region019",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028885415.1\index.html","#r1c19","NI-siderophore","0",0,"Streptomyces","NZ_CP118527.1.region019.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028885415.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_028885415.1\NZ_CP118527.1.region019.gbk"
"61","GCF_022807935.1_NZ_CP094344.1.region011",2,"\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022807935.1\index.html","#r1c11","NI-siderophore","0",0,"Streptomyces","NZ_CP094344.1.region011.gbk","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022807935.1\","\\192.168.1.106\Pdisk7\yll\Streptomyces\antismash_results\GCF_022807935.1\NZ_CP094344.1.region011.gbk"
